lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,1.0,1.0,1.8563215732574463,10.58067512512207,22.120914459228516,-4.447164535522461
2.0,2.0,1.0,1.0,0.255449503660202,0.24215182662010193,26.277442932128906,-0.2906360626220703
3.0,3.0,1.0,1.0,1.3267908096313477,4.7552714347839355,25.644561767578125,-0.9235172271728516
4.0,4.0,1.0,1.0,0.32662221789360046,0.404800683259964,26.339298248291016,-0.22878074645996094
5.0,5.0,1.0,1.0,0.6794897317886353,1.2762371301651,25.213632583618164,-1.3544464111328125
6.0,6.0,1.0,1.0,0.35864439606666565,0.47534307837486267,26.17586898803711,-0.3922100067138672
7.0,7.0,1.0,1.0,0.3631790280342102,0.5781103372573853,25.842418670654297,-0.7256603240966797
8.0,8.0,0.0,0.0,0.3351997435092926,0.44347184896469116,25.410919189453125,-1.1571598052978516
9.0,9.0,0.0,0.0,0.316556841135025,0.4048648774623871,25.49298095703125,-1.0750980377197266
10.0,10.0,0.0,0.0,0.2846221923828125,0.33917710185050964,25.87613868713379,-0.6919403076171875
11.0,11.0,0.0,0.0,0.2868955135345459,0.33104458451271057,25.67197608947754,-0.8961029052734375
12.0,12.0,0.0,0.0,0.2639157772064209,0.2558673024177551,26.044960021972656,-0.5231189727783203
13.0,13.0,0.0,0.0,0.2543341815471649,0.2684164047241211,25.90519142150879,-0.6628875732421875
14.0,14.0,0.0,0.0,0.2111636996269226,0.2055121213197708,25.98062515258789,-0.5874538421630859
15.0,15.0,0.0,0.0,0.19535192847251892,0.15264774858951569,26.233497619628906,-0.3345813751220703
16.0,16.0,0.0,0.0,0.18485967814922333,0.15744273364543915,26.25603485107422,-0.3120441436767578
17.0,17.0,0.0,0.0,0.20189568400382996,0.17041924595832825,26.40403938293457,-0.16403961181640625
18.0,18.0,0.0,0.0,0.1824766844511032,0.14482316374778748,26.253835678100586,-0.3142433166503906
19.0,19.0,0.0,0.0,0.15041474997997284,0.1133793517947197,26.230348587036133,-0.33773040771484375
20.0,20.0,0.0,0.0,0.13515563309192657,0.09135719388723373,26.369840621948242,-0.19823837280273438
21.0,21.0,0.0,0.0,0.1388949751853943,0.08223786950111389,26.288116455078125,-0.27996253967285156
22.0,22.0,0.0,0.0,0.127604678273201,0.07590822130441666,26.410736083984375,-0.15734291076660156
23.0,23.0,0.0,0.0,0.12512101233005524,0.09668096154928207,26.33519172668457,-0.23288726806640625
24.0,24.0,0.0,0.0,0.1267477124929428,0.0722535252571106,26.419065475463867,-0.14901351928710938
25.0,25.0,0.0,0.0,0.11381542682647705,0.0684695690870285,26.327184677124023,-0.24089431762695312
26.0,26.0,0.0,0.0,0.11359527707099915,0.05660811439156532,26.397436141967773,-0.17064285278320312
27.0,27.0,0.0,0.0,0.1274206042289734,0.07410350441932678,26.347450256347656,-0.2206287384033203
28.0,28.0,0.0,0.0,0.11258262395858765,0.06256455183029175,26.396286010742188,-0.17179298400878906
29.0,29.0,0.0,0.0,0.11158376932144165,0.0608360655605793,26.520719528198242,-0.047359466552734375
30.0,30.0,0.0,0.0,0.09502942115068436,0.03580811992287636,26.459983825683594,-0.10809516906738281
31.0,31.0,0.0,0.0,0.08655470609664917,0.030086657032370567,26.463401794433594,-0.10467720031738281
32.0,32.0,0.0,0.0,0.08405085653066635,0.02674618922173977,26.506668090820312,-0.06141090393066406
