layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
0.0,1.0,1.0,0.05806297808885574,0.053984276950359344
0.0,2.0,1.0,0.31620627641677856,0.31092891097068787
0.0,3.0,1.0,0.08839781582355499,0.08046464622020721
0.0,4.0,1.0,0.039239414036273956,0.034492138773202896
0.0,5.0,1.0,0.003352466272190213,0.002796459710225463
0.0,6.0,1.0,0.00010628125164657831,9.175160812446848e-05
0.0,7.0,1.0,4.2867592128459364e-05,3.957479202654213e-05
0.0,8.0,0.0,7.323366298805922e-05,6.843257142463699e-05
0.0,9.0,0.0,0.00019888718088623136,0.00018581573385745287
0.0,10.0,0.0,0.0017317854799330235,0.0016700585838407278
0.0,11.0,0.0,0.010902268812060356,0.010796334594488144
0.0,12.0,0.0,0.02150009199976921,0.021357404068112373
0.0,13.0,0.0,0.023203648626804352,0.02301853708922863
0.0,14.0,0.0,0.02791510336101055,0.02772604301571846
0.0,15.0,0.0,0.04093187302350998,0.040761854499578476
0.0,16.0,0.0,0.05486976355314255,0.05430541932582855
0.0,17.0,0.0,0.0639965608716011,0.060084983706474304
0.0,18.0,0.0,0.04997425526380539,0.04586451128125191
0.0,19.0,0.0,0.03407112509012222,0.032325852662324905
0.0,20.0,0.0,0.033251143991947174,0.03219906985759735
0.0,21.0,0.0,0.0369100496172905,0.03578569367527962
0.0,22.0,0.0,0.04182536527514458,0.04017150029540062
0.0,23.0,0.0,0.03469261899590492,0.03267398104071617
0.0,24.0,0.0,0.014164934866130352,0.012789476662874222
0.0,25.0,0.0,0.003725159214809537,0.0030340375378727913
0.0,26.0,0.0,0.00038059160578995943,0.0002469235914759338
0.0,27.0,0.0,3.632393054431304e-05,1.51312087837141e-05
0.0,28.0,0.0,1.2763639460899867e-05,7.23676203051582e-06
0.0,29.0,0.0,1.6978623534669168e-05,1.2617072570719756e-05
0.0,30.0,0.0,4.574259583023377e-05,4.0865561459213495e-05
0.0,31.0,0.0,7.626775186508894e-05,7.014874427113682e-05
0.0,32.0,0.0,8.538267138646916e-05,7.891585119068623e-05
1.0,1.0,1.0,0.32692837715148926,0.3173207938671112
1.0,2.0,1.0,0.1203550398349762,0.11640148609876633
1.0,3.0,1.0,0.047136712819337845,0.04606255516409874
1.0,4.0,1.0,0.029219234362244606,0.028830699622631073
1.0,5.0,1.0,0.03130536898970604,0.03092825785279274
1.0,6.0,1.0,0.03471784666180611,0.034218449145555496
1.0,7.0,1.0,0.040471985936164856,0.039834290742874146
1.0,8.0,0.0,0.04022067040205002,0.03960335999727249
1.0,9.0,0.0,0.03200710564851761,0.031552933156490326
1.0,10.0,0.0,0.023137394338846207,0.022854957729578018
1.0,11.0,0.0,0.019115662202239037,0.01890682429075241
1.0,12.0,0.0,0.016445530578494072,0.016250256448984146
1.0,13.0,0.0,0.017373191192746162,0.01711292564868927
1.0,14.0,0.0,0.0195100549608469,0.019109880551695824
1.0,15.0,0.0,0.019825220108032227,0.01937427558004856
1.0,16.0,0.0,0.013979543000459671,0.013714219443500042
1.0,17.0,0.0,0.01102287508547306,0.010866721160709858
1.0,18.0,0.0,0.010378292761743069,0.010217067785561085
1.0,19.0,0.0,0.013372752815485,0.013087693601846695
1.0,20.0,0.0,0.018624629825353622,0.018107743933796883
1.0,21.0,0.0,0.018206782639026642,0.0177366454154253
1.0,22.0,0.0,0.013510380871593952,0.013233400881290436
1.0,23.0,0.0,0.010735624469816685,0.010572224855422974
1.0,24.0,0.0,0.010393697768449783,0.010238118469715118
1.0,25.0,0.0,0.009930441156029701,0.009749640710651875
1.0,26.0,0.0,0.010776015929877758,0.010543284006416798
1.0,27.0,0.0,0.011040193028748035,0.010781368240714073
1.0,28.0,0.0,0.009832113981246948,0.00959301833063364
1.0,29.0,0.0,0.006073544733226299,0.005949981044977903
1.0,30.0,0.0,0.004108909051865339,0.004037975333631039
1.0,31.0,0.0,0.004427200648933649,0.004337531514465809
1.0,32.0,0.0,0.00581758189946413,0.005618507042527199
