lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,1.0,1.0,1.745732069015503,9.999017715454102,17.349517822265625,-4.294658660888672
2.0,2.0,1.0,1.0,0.8505365252494812,1.9973247051239014,22.01131820678711,0.3671417236328125
3.0,3.0,1.0,1.0,0.8819804787635803,1.8845129013061523,21.578725814819336,-0.06545066833496094
4.0,4.0,1.0,1.0,0.7760825157165527,1.6971685886383057,21.02727508544922,-0.6169013977050781
5.0,5.0,1.0,1.0,0.34227362275123596,0.3677051365375519,20.84479522705078,-0.7993812561035156
6.0,6.0,1.0,1.0,0.36212122440338135,0.49555036425590515,20.224586486816406,-1.4195899963378906
7.0,7.0,0.0,0.0,0.36226752400398254,0.42601269483566284,20.298921585083008,-1.345254898071289
8.0,8.0,0.0,0.0,0.34283319115638733,0.428638219833374,20.583932876586914,-1.0602436065673828
9.0,9.0,0.0,0.0,0.3476082682609558,0.3804972469806671,20.386816024780273,-1.2573604583740234
10.0,10.0,0.0,0.0,0.32029175758361816,0.3391026258468628,20.631488800048828,-1.0126876831054688
11.0,11.0,0.0,0.0,0.303607702255249,0.2975023686885834,20.62193489074707,-1.0222415924072266
12.0,12.0,0.0,0.0,0.2667519450187683,0.22193339467048645,20.948999404907227,-0.6951770782470703
13.0,13.0,0.0,0.0,0.23966561257839203,0.18395765125751495,21.024211883544922,-0.619964599609375
14.0,14.0,0.0,0.0,0.21807269752025604,0.1531899869441986,20.98971176147461,-0.6544647216796875
15.0,15.0,0.0,0.0,0.1922644078731537,0.15322983264923096,21.069597244262695,-0.5745792388916016
16.0,16.0,0.0,0.0,0.16463811695575714,0.1086575835943222,21.085023880004883,-0.5591526031494141
17.0,17.0,0.0,0.0,0.16070859134197235,0.10421868413686752,21.244260787963867,-0.3999156951904297
18.0,18.0,0.0,0.0,0.1496659368276596,0.08799140900373459,21.106746673583984,-0.5374298095703125
19.0,19.0,0.0,0.0,0.14315421879291534,0.07453054189682007,21.313417434692383,-0.33075904846191406
20.0,20.0,0.0,0.0,0.14315667748451233,0.085511215031147,21.201499938964844,-0.4426765441894531
21.0,21.0,0.0,0.0,0.1396464854478836,0.069564588367939,21.224273681640625,-0.4199028015136719
22.0,22.0,0.0,0.0,0.146163672208786,0.0999596118927002,21.105026245117188,-0.5391502380371094
23.0,23.0,0.0,0.0,0.14708159863948822,0.09111826866865158,21.222827911376953,-0.42134857177734375
24.0,24.0,0.0,0.0,0.15367719531059265,0.13267949223518372,21.197654724121094,-0.4465217590332031
25.0,25.0,0.0,0.0,0.1424320489168167,0.08770719915628433,21.30483627319336,-0.3393402099609375
26.0,26.0,0.0,0.0,0.13732382655143738,0.10053810477256775,21.189579010009766,-0.45459747314453125
27.0,27.0,0.0,0.0,0.1238875612616539,0.06039965897798538,21.27107810974121,-0.37309837341308594
28.0,28.0,0.0,0.0,0.10647173970937729,0.05093567073345184,21.437162399291992,-0.2070140838623047
29.0,29.0,0.0,0.0,0.09604581445455551,0.035120416432619095,21.511011123657227,-0.1331653594970703
30.0,30.0,0.0,0.0,0.08226310461759567,0.02609081007540226,21.593637466430664,-0.05053901672363281
31.0,31.0,0.0,0.0,0.07127366960048676,0.017294254153966904,21.43596649169922,-0.20820999145507812
32.0,32.0,0.0,0.0,0.06771662831306458,0.015313549898564816,21.565336227416992,-0.07884025573730469
