lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,1.0,1.0,0.6686306595802307,1.3709489107131958,1.5473226308822632,1.395186498761177
2.0,2.0,1.0,1.0,0.5929555892944336,0.8439368605613708,1.0096932649612427,0.8575571328401566
3.0,3.0,0.0,0.0,0.1163124367594719,0.05925372987985611,0.22056201100349426,0.06842587888240814
4.0,4.0,0.0,0.0,0.11257130652666092,0.03920280560851097,0.19530843198299408,0.04317229986190796
5.0,5.0,0.0,0.0,0.09453657269477844,0.027992649003863335,0.18929654359817505,0.03716041147708893
6.0,6.0,0.0,0.0,0.09483995288610458,0.02819916605949402,0.1800086945295334,0.027872562408447266
7.0,7.0,0.0,0.0,0.08659094572067261,0.024732680991292,0.1836336851119995,0.03149755299091339
8.0,8.0,0.0,0.0,0.09410052001476288,0.027536720037460327,0.17852666974067688,0.02639053761959076
9.0,9.0,0.0,0.0,0.09030977636575699,0.024714592844247818,0.1782355010509491,0.026099368929862976
10.0,10.0,0.0,0.0,0.09538649022579193,0.027535496279597282,0.178943932056427,0.02680779993534088
11.0,11.0,0.0,0.0,0.08830968290567398,0.024726079776883125,0.17952553927898407,0.02738940715789795
12.0,12.0,0.0,0.0,0.08991118520498276,0.023449480533599854,0.17559543251991272,0.0234593003988266
13.0,13.0,0.0,0.0,0.08456768840551376,0.02054740861058235,0.17699392139911652,0.024857789278030396
14.0,14.0,0.0,0.0,0.0856725201010704,0.021444136276841164,0.17961812019348145,0.027481988072395325
15.0,15.0,0.0,0.0,0.08159010112285614,0.020888278260827065,0.17888374626636505,0.02674761414527893
16.0,16.0,0.0,0.0,0.08348848670721054,0.019900063052773476,0.17559906840324402,0.023462936282157898
17.0,17.0,0.0,0.0,0.08101867884397507,0.019981838762760162,0.17786751687526703,0.025731384754180908
18.0,18.0,0.0,0.0,0.08539645373821259,0.021970519796013832,0.17975901067256927,0.027622878551483154
19.0,19.0,0.0,0.0,0.08260055631399155,0.021823951974511147,0.18242038786411285,0.030284255743026733
20.0,20.0,0.0,0.0,0.08904828131198883,0.026775207370519638,0.18956932425498962,0.0374331921339035
21.0,21.0,0.0,0.0,0.08436635881662369,0.02165653556585312,0.17847013473510742,0.0263340026140213
22.0,22.0,0.0,0.0,0.08525194972753525,0.022550806403160095,0.17784717679023743,0.025711044669151306
23.0,23.0,0.0,0.0,0.08760588616132736,0.024505315348505974,0.18216632306575775,0.03003019094467163
24.0,24.0,0.0,0.0,0.088377945125103,0.024776937440037727,0.18280749022960663,0.030671358108520508
25.0,25.0,0.0,0.0,0.09308133274316788,0.030865374952554703,0.1915939897298813,0.039457857608795166
26.0,26.0,0.0,0.0,0.08784541487693787,0.02561589702963829,0.1909039318561554,0.038767799735069275
27.0,27.0,0.0,0.0,0.08995486795902252,0.02572912536561489,0.18499433994293213,0.03285820782184601
28.0,28.0,0.0,0.0,0.08771883696317673,0.022236758843064308,0.1783410608768463,0.026204928755760193
29.0,29.0,0.0,0.0,0.08340956270694733,0.02113773114979267,0.1833830326795578,0.03124690055847168
30.0,30.0,0.0,0.0,0.08161740005016327,0.02008766308426857,0.17680004239082336,0.024663910269737244
31.0,31.0,0.0,0.0,0.0765671655535698,0.018994422629475594,0.17516207695007324,0.02302594482898712
32.0,32.0,0.0,0.0,0.06650950014591217,0.012224831618368626,0.15873010456562042,0.006593972444534302
