test_ar_order,lag,is_within_ar_order,base_mse_to_conditional_mean,mse_after_permutation,mse_increase_after_permutation,mean_abs_forecast_change
1,1,1,0.1490195095539093,0.9714751839637756,0.8224556744098663,0.6181164979934692
1,2,0,0.1490195095539093,0.3899383842945099,0.24091887474060059,0.34955069422721863
1,3,0,0.1490195095539093,0.21918556094169617,0.07016605138778687,0.25037628412246704
1,4,0,0.1490195095539093,0.1692856252193451,0.02026611566543579,0.15852490067481995
1,5,0,0.1490195095539093,0.17165066301822662,0.022631153464317322,0.14156080782413483
1,6,0,0.1490195095539093,0.16844160854816437,0.019422098994255066,0.15350425243377686
1,7,0,0.1490195095539093,0.17032788693904877,0.021308377385139465,0.13959266245365143
1,8,0,0.1490195095539093,0.16024139523506165,0.011221885681152344,0.12963056564331055
1,9,0,0.1490195095539093,0.16383011639118195,0.014810606837272644,0.12131384760141373
1,10,0,0.1490195095539093,0.15812981128692627,0.009110301733016968,0.12000514566898346
1,11,0,0.1490195095539093,0.15990644693374634,0.010886937379837036,0.11481309682130814
1,12,0,0.1490195095539093,0.15879081189632416,0.009771302342414856,0.112729012966156
1,13,0,0.1490195095539093,0.1580827683210373,0.00906325876712799,0.10396935790777206
1,14,0,0.1490195095539093,0.1553954780101776,0.0063759684562683105,0.09225932508707047
1,15,0,0.1490195095539093,0.15506887435913086,0.006049364805221558,0.08669918030500412
1,16,0,0.1490195095539093,0.15291817486286163,0.0038986653089523315,0.08444660902023315
1,17,0,0.1490195095539093,0.15737441182136536,0.008354902267456055,0.08499515056610107
1,18,0,0.1490195095539093,0.15781870484352112,0.008799195289611816,0.08438181132078171
1,19,0,0.1490195095539093,0.1557360738515854,0.006716564297676086,0.08166689425706863
1,20,0,0.1490195095539093,0.15645548701286316,0.007435977458953857,0.07894212752580643
1,21,0,0.1490195095539093,0.15367364883422852,0.004654139280319214,0.0788329690694809
1,22,0,0.1490195095539093,0.15387973189353943,0.004860222339630127,0.07967362552881241
1,23,0,0.1490195095539093,0.15513791143894196,0.006118401885032654,0.08763844519853592
1,24,0,0.1490195095539093,0.1519840657711029,0.0029645562171936035,0.08826954662799835
1,25,0,0.1490195095539093,0.15630954504013062,0.0072900354862213135,0.08518046885728836
1,26,0,0.1490195095539093,0.1526165008544922,0.0035969913005828857,0.07945597916841507
1,27,0,0.1490195095539093,0.15207688510417938,0.0030573755502700806,0.07401943951845169
1,28,0,0.1490195095539093,0.15376697480678558,0.004747465252876282,0.07400970906019211
1,29,0,0.1490195095539093,0.15453261137008667,0.005513101816177368,0.07062473893165588
1,30,0,0.1490195095539093,0.15252868831157684,0.0035091787576675415,0.06656129658222198
1,31,0,0.1490195095539093,0.15410450100898743,0.005084991455078125,0.06500912457704544
1,32,0,0.1490195095539093,0.15182273089885712,0.002803221344947815,0.05615933984518051
2,1,1,0.19606205821037292,1.5278054475784302,1.3317433893680573,0.7510154843330383
2,2,1,0.19606205821037292,1.2086888551712036,1.0126267969608307,0.6614280939102173
2,3,0,0.19606205821037292,0.543574869632721,0.347512811422348,0.38120976090431213
2,4,0,0.19606205821037292,0.2944740951061249,0.09841203689575195,0.221863254904747
2,5,0,0.19606205821037292,0.2736504375934601,0.07758837938308716,0.18039481341838837
2,6,0,0.19606205821037292,0.2692730724811554,0.07321101427078247,0.19523294270038605
2,7,0,0.19606205821037292,0.24971701204776764,0.053654953837394714,0.16278064250946045
2,8,0,0.19606205821037292,0.2423771172761917,0.04631505906581879,0.15996436774730682
2,9,0,0.19606205821037292,0.23493526875972748,0.03887321054935455,0.1449490487575531
2,10,0,0.19606205821037292,0.2405652403831482,0.04450318217277527,0.1517428457736969
2,11,0,0.19606205821037292,0.24089926481246948,0.04483720660209656,0.14182621240615845
2,12,0,0.19606205821037292,0.2345220297574997,0.03845997154712677,0.13870078325271606
2,13,0,0.19606205821037292,0.23221029341220856,0.03614823520183563,0.122458815574646
2,14,0,0.19606205821037292,0.22141410410404205,0.02535204589366913,0.11249534040689468
2,15,0,0.19606205821037292,0.2193673551082611,0.023305296897888184,0.10286951065063477
2,16,0,0.19606205821037292,0.2185300588607788,0.022468000650405884,0.10018061101436615
2,17,0,0.19606205821037292,0.21949896216392517,0.023436903953552246,0.10643785446882248
2,18,0,0.19606205821037292,0.2233588695526123,0.02729681134223938,0.1052951067686081
2,19,0,0.19606205821037292,0.21991370618343353,0.023851647973060608,0.10433918237686157
2,20,0,0.19606205821037292,0.21803253889083862,0.021970480680465698,0.09602659940719604
2,21,0,0.19606205821037292,0.21958619356155396,0.02352413535118103,0.09810788929462433
2,22,0,0.19606205821037292,0.22092634439468384,0.024864286184310913,0.10512697696685791
2,23,0,0.19606205821037292,0.22072210907936096,0.024660050868988037,0.1060507521033287
2,24,0,0.19606205821037292,0.22471626102924347,0.028654202818870544,0.1076207309961319
2,25,0,0.19606205821037292,0.2199012190103531,0.023839160799980164,0.10619694739580154
2,26,0,0.19606205821037292,0.21910956501960754,0.02304750680923462,0.09726829826831818
2,27,0,0.19606205821037292,0.21903245151042938,0.022970393300056458,0.09631271660327911
2,28,0,0.19606205821037292,0.21508166193962097,0.019019603729248047,0.09069690108299255
2,29,0,0.19606205821037292,0.21822144091129303,0.022159382700920105,0.09115965664386749
2,30,0,0.19606205821037292,0.2112710028886795,0.01520894467830658,0.08066287636756897
2,31,0,0.19606205821037292,0.210835799574852,0.014773741364479065,0.07506503909826279
2,32,0,0.19606205821037292,0.2037060707807541,0.0076440125703811646,0.06909546256065369
3,1,1,0.31039950251579285,2.573782444000244,2.2633829414844513,0.9954331517219543
3,2,1,0.31039950251579285,2.1539230346679688,1.843523532152176,0.8898516893386841
3,3,1,0.31039950251579285,1.6960060596466064,1.3856065571308136,0.7341670393943787
3,4,0,0.31039950251579285,0.5507768392562866,0.24037733674049377,0.29682600498199463
3,5,0,0.31039950251579285,0.4819149076938629,0.17151540517807007,0.24138425290584564
3,6,0,0.31039950251579285,0.47842705249786377,0.16802754998207092,0.24846892058849335
3,7,0,0.31039950251579285,0.4366645812988281,0.12626507878303528,0.20715229213237762
3,8,0,0.31039950251579285,0.43497535586357117,0.12457585334777832,0.20539715886116028
3,9,0,0.31039950251579285,0.41378122568130493,0.10338172316551208,0.1832372099161148
3,10,0,0.31039950251579285,0.41720160841941833,0.10680210590362549,0.19276191294193268
3,11,0,0.31039950251579285,0.4040280878543854,0.09362858533859253,0.17232151329517365
3,12,0,0.31039950251579285,0.39358198642730713,0.08318248391151428,0.1718779355287552
3,13,0,0.31039950251579285,0.37183699011802673,0.06143748760223389,0.15498243272304535
3,14,0,0.31039950251579285,0.36213552951812744,0.051736027002334595,0.14092232286930084
3,15,0,0.31039950251579285,0.36497762799263,0.05457812547683716,0.12952271103858948
3,16,0,0.31039950251579285,0.36089515686035156,0.050495654344558716,0.1290121078491211
3,17,0,0.31039950251579285,0.36758676171302795,0.05718725919723511,0.12855713069438934
3,18,0,0.31039950251579285,0.36446645855903625,0.05406695604324341,0.1352796107530594
3,19,0,0.31039950251579285,0.37555035948753357,0.06515085697174072,0.12900060415267944
3,20,0,0.31039950251579285,0.35021910071372986,0.03981959819793701,0.12080319225788116
3,21,0,0.31039950251579285,0.36270004510879517,0.05230054259300232,0.12242253124713898
3,22,0,0.31039950251579285,0.3566003143787384,0.04620081186294556,0.12786386907100677
3,23,0,0.31039950251579285,0.37336254119873047,0.06296303868293762,0.13395611941814423
3,24,0,0.31039950251579285,0.3707362115383148,0.06033670902252197,0.1373239904642105
3,25,0,0.31039950251579285,0.36513552069664,0.05473601818084717,0.1325007826089859
3,26,0,0.31039950251579285,0.35871219635009766,0.04831269383430481,0.12491507828235626
3,27,0,0.31039950251579285,0.35425153374671936,0.043852031230926514,0.11392329633235931
3,28,0,0.31039950251579285,0.3494972586631775,0.039097756147384644,0.1201326996088028
3,29,0,0.31039950251579285,0.349607914686203,0.039208412170410156,0.111036516726017
3,30,0,0.31039950251579285,0.34168073534965515,0.031281232833862305,0.10913380235433578
3,31,0,0.31039950251579285,0.3412858545780182,0.030886352062225342,0.09589728713035583
3,32,0,0.31039950251579285,0.32534700632095337,0.014947503805160522,0.08541539311408997
4,1,1,0.8430356383323669,4.704552173614502,3.861516535282135,1.2316423654556274
4,2,1,0.8430356383323669,3.402207136154175,2.559171497821808,1.0264700651168823
4,3,1,0.8430356383323669,2.701317548751831,1.8582819104194641,0.8686936497688293
4,4,1,0.8430356383323669,1.2687439918518066,0.4257083535194397,0.3549526035785675
4,5,0,0.8430356383323669,1.1019400358200073,0.2589043974876404,0.2733181118965149
4,6,0,0.8430356383323669,1.1558116674423218,0.31277602910995483,0.30618029832839966
4,7,0,0.8430356383323669,1.1121001243591309,0.2690644860267639,0.27116256952285767
4,8,0,0.8430356383323669,1.0335015058517456,0.19046586751937866,0.251465767621994
4,9,0,0.8430356383323669,1.033216118812561,0.1901804804801941,0.22120200097560883
4,10,0,0.8430356383323669,1.0133559703826904,0.1703203320503235,0.2364460825920105
4,11,0,0.8430356383323669,0.9904878735542297,0.1474522352218628,0.21398566663265228
4,12,0,0.8430356383323669,0.9522996544837952,0.10926401615142822,0.20352771878242493
4,13,0,0.8430356383323669,0.9553711414337158,0.11233550310134888,0.18083888292312622
4,14,0,0.8430356383323669,0.9091241955757141,0.06608855724334717,0.16523008048534393
4,15,0,0.8430356383323669,0.9166600704193115,0.07362443208694458,0.14571455121040344
4,16,0,0.8430356383323669,0.9270843863487244,0.08404874801635742,0.1564851999282837
4,17,0,0.8430356383323669,0.9115176200866699,0.06848198175430298,0.14381274580955505
4,18,0,0.8430356383323669,0.9096671342849731,0.0666314959526062,0.15358377993106842
4,19,0,0.8430356383323669,0.9194363355636597,0.07640069723129272,0.1487831473350525
4,20,0,0.8430356383323669,0.9097650647163391,0.06672942638397217,0.1500307321548462
4,21,0,0.8430356383323669,0.9090842604637146,0.06604862213134766,0.1470344066619873
4,22,0,0.8430356383323669,0.9069939255714417,0.06395828723907471,0.15161868929862976
4,23,0,0.8430356383323669,0.9201808571815491,0.07714521884918213,0.15121078491210938
4,24,0,0.8430356383323669,0.9151030778884888,0.07206743955612183,0.15815137326717377
4,25,0,0.8430356383323669,0.9154446721076965,0.07240903377532959,0.15599054098129272
4,26,0,0.8430356383323669,0.9119272828102112,0.06889164447784424,0.14520840346813202
4,27,0,0.8430356383323669,0.9182414412498474,0.07520580291748047,0.13397927582263947
4,28,0,0.8430356383323669,0.8963221907615662,0.05328655242919922,0.13700711727142334
4,29,0,0.8430356383323669,0.8997178673744202,0.05668222904205322,0.12952934205532074
4,30,0,0.8430356383323669,0.8746961355209351,0.031660497188568115,0.1183922290802002
4,31,0,0.8430356383323669,0.8776527643203735,0.03461712598800659,0.11238294094800949
4,32,0,0.8430356383323669,0.849192202091217,0.006156563758850098,0.09643106907606125
5,1,1,1.4954993724822998,7.570353984832764,6.074854612350464,1.541774034500122
5,2,1,1.4954993724822998,5.646510124206543,4.151010751724243,1.246770977973938
5,3,1,1.4954993724822998,4.427780628204346,2.932281255722046,1.050774335861206
5,4,1,1.4954993724822998,2.05122709274292,0.5557277202606201,0.42976880073547363
5,5,1,1.4954993724822998,1.885817527770996,0.3903181552886963,0.3504566252231598
