test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
1,1,31,0,0.009077024646103382,0.008807879872620106
1,1,32,0,0.0077726105228066444,0.007577951066195965
2,0,1,1,0.43334680795669556,0.37440818548202515
2,0,2,1,0.3143802285194397,0.2968696057796478
2,0,3,0,0.25147631764411926,0.24969039857387543
2,0,4,0,0.0006896507693454623,0.0006812452920712531
2,0,5,0,1.072991562267589e-08,9.167228087747503e-10
2,0,6,0,4.60054459805459e-11,6.372073875493545e-12
2,0,7,0,8.393958444985472e-11,8.310885313278504e-11
2,0,8,0,3.782072433011763e-10,3.782034130317413e-10
2,0,9,0,5.899593816138804e-06,5.899593816138804e-06
2,0,10,0,1.7505405480733316e-07,1.7505405480733316e-07
2,0,11,0,1.1146431813571084e-13,1.1146406741395845e-13
2,0,12,0,1.858337512152854e-17,2.5860385304671413e-18
2,0,13,0,3.992405771214777e-14,6.671261138728023e-15
2,0,14,0,2.984291416416318e-12,4.716277281907599e-13
2,0,15,0,2.5999081998406837e-08,2.598145343313263e-08
2,0,16,0,1.0173555438086623e-06,1.0158062195841921e-06
2,0,17,0,3.702715911657606e-09,1.028974350170131e-09
2,0,18,0,4.5770303813696955e-07,8.617771385388551e-08
2,0,19,0,7.192479188233847e-06,5.111671725899214e-07
2,0,20,0,9.705846650831518e-07,1.4483072163784527e-07
2,0,21,0,9.602214277038001e-07,9.599267514204257e-07
2,0,22,0,9.029810462379828e-05,9.029810462379828e-05
2,0,23,0,1.4555570970742338e-08,1.4555570970742338e-08
2,0,24,0,1.8736900306439526e-15,1.872108408373192e-15
2,0,25,0,2.401816102269691e-19,1.8026032353620098e-19
2,0,26,0,2.8527261094476065e-18,2.8397269661213357e-18
2,0,27,0,2.9179631123475366e-14,2.9179631123475366e-14
2,0,28,0,3.936360612466494e-11,3.936360612466494e-11
2,0,29,0,1.8677869309795953e-13,1.8677869309795953e-13
2,0,30,0,1.5566487381023817e-20,1.5566485765436683e-20
2,0,31,0,1.0778766146239325e-25,6.364795407581053e-26
2,0,32,0,9.143660751561312e-22,9.066930460120999e-22
2,1,1,1,0.27582865953445435,0.27430441975593567
2,1,2,1,0.037897512316703796,0.03623451665043831
2,1,3,0,0.03595924749970436,0.034686096012592316
