test_ar_order,median_mase_to_noisy_next_x,median_smape_percent_to_noisy_next_x,mean_wql_to_noisy_next_x,zero_mase_to_noisy_next_x,last_value_mase_to_noisy_next_x,ols_mase_to_noisy_next_x,analytic_optimum_mase_to_noisy_next_x,median_mae_to_noisy_next_x,median_mse_to_noisy_next_x,median_mse_to_conditional_mean,zero_mse_to_conditional_mean,model_mse_over_zero_mse,mase_improvement_vs_zero_percent,wql_q0.1,wql_q0.2,wql_q0.3,wql_q0.4,wql_q0.5,wql_q0.6,wql_q0.7,wql_q0.8,wql_q0.9,permutation_top_p_recall,permutation_first_p_positive_share,mase_over_mean_in_range_mase,failure_mode
1,0.7415810823440552,129.38381433486938,0.6704781651496887,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.845085859298706,1.1085214614868164,0.1490195095539093,0.6477575898170471,0.23005443995800717,12.945526800406135,0.3863725960254669,0.6059449315071106,0.7478415369987488,0.8346126675605774,0.8658731579780579,0.8414721488952637,0.7557728290557861,0.6103694438934326,0.3860439360141754,1.0,0.594318729348636,1.200660382868276,in_training_range
2,0.6444056034088135,111.0680341720581,0.5480294823646545,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,0.853404700756073,1.1552822589874268,0.19606205821037292,1.616495966911316,0.12128830645027477,25.91278288356192,0.32196882367134094,0.5013611912727356,0.6144185066223145,0.6808834075927734,0.7005460858345032,0.6793784499168396,0.614439845085144,0.5000916123390198,0.3191770911216736,1.0,0.6402002108223365,1.0433279609367463,in_training_range
3,0.5753999352455139,99.41350817680359,0.479848712682724,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,0.9143016338348389,1.3356332778930664,0.31039950251579285,3.001481771469116,0.10341542149825003,33.46082252481673,0.28242695331573486,0.4367547631263733,0.5366311073303223,0.5941253900527954,0.6128090620040894,0.5960204601287842,0.53998863697052,0.4400466978549957,0.2798352837562561,1.0,0.716209450699431,0.9316040052835879,in_training_range
4,0.56001216173172,96.80289626121521,0.45212090015411377,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.0360547304153442,1.7448593378067017,0.8430356383323669,5.026864528656006,0.1677060588218722,36.812060866304286,0.26069191098213196,0.41206517815589905,0.5092710852622986,0.5637615323066711,0.5805656313896179,0.5623495578765869,0.5073209404945374,0.411279559135437,0.2617821991443634,1.0,0.7474665312289551,0.9066903572976345,in_training_range
5,0.56682288646698,93.66957545280457,0.4373949468135834,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.23455810546875,2.528280019760132,1.4954993724822998,8.175668716430664,0.18292074010738602,38.265140416682115,0.24682316184043884,0.39108604192733765,0.48526671528816223,0.5449463725090027,0.5623876452445984,0.547703742980957,0.49680599570274353,0.40407854318618774,0.2574562132358551,0.8,0.7785818493432795,0.9177172936137551,in_training_range
6,0.5516285300254822,92.74182319641113,0.4321051239967346,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.4077180624008179,3.441110134124756,2.475961446762085,11.452367782592773,0.21619646642203247,40.366828000967814,0.24605102837085724,0.39060643315315247,0.48339107632637024,0.538181483745575,0.5537077784538269,0.5402145981788635,0.48977091908454895,0.3972828686237335,0.24974000453948975,0.8333333333333334,0.7687836538802268,0.8931167984597783,good_extrapolation
7,0.5625619888305664,93.30384135246277,0.432991087436676,0.9190888404846191,1.0607483386993408,0.36884400248527527,0.30740296840667725,1.6114637851715088,4.545403957366943,3.57653546333313,16.68950080871582,0.21429852841765898,38.7913372407027,0.24789857864379883,0.3925431966781616,0.4847991168498993,0.5390724539756775,0.5544231534004211,0.5399935841560364,0.4898727238178253,0.3973623514175415,0.2509545385837555,1.0,0.8264670394264935,0.9108186670046079,good_extrapolation
