lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,1.0,2.325239658355713,14.696334838867188,16.36830711364746,13.401853561401367
2.0,3.0,1.0,1.0,1.2150096893310547,4.0815300941467285,7.390219688415527,4.423766136169434
3.0,4.0,1.0,1.0,1.1644090414047241,3.230600595474243,6.120737075805664,3.1542835235595703
4.0,5.0,1.0,1.0,1.020721197128296,2.7067041397094727,5.688907146453857,2.7224535942077637
5.0,6.0,1.0,1.0,0.47028037905693054,0.6208569407463074,3.611346960067749,0.6448934078216553
6.0,7.0,1.0,0.0,0.5154857635498047,0.8437880277633667,3.7205424308776855,0.7540888786315918
7.0,8.0,0.0,0.0,0.5241933465003967,0.9025647640228271,3.8121495246887207,0.845695972442627
8.0,9.0,0.0,0.0,0.4928285479545593,0.8045724630355835,3.8512775897979736,0.8848240375518799
9.0,10.0,0.0,0.0,0.48265278339385986,0.7374882102012634,3.6078574657440186,0.6414039134979248
10.0,11.0,0.0,0.0,0.44315001368522644,0.6330751776695251,3.5291733741760254,0.5627198219299316
11.0,12.0,0.0,0.0,0.4387105107307434,0.6103565692901611,3.5149881839752197,0.548534631729126
12.0,13.0,0.0,0.0,0.35878986120224,0.4371068775653839,3.3831186294555664,0.41666507720947266
13.0,14.0,0.0,0.0,0.34094706177711487,0.37894684076309204,3.2471024990081787,0.28064894676208496
14.0,15.0,0.0,0.0,0.28745871782302856,0.2640242278575897,3.1783554553985596,0.21190190315246582
15.0,16.0,0.0,0.0,0.2576908767223358,0.20977680385112762,3.0824546813964844,0.11600112915039062
16.0,17.0,0.0,0.0,0.2325635403394699,0.1723925769329071,3.0774314403533936,0.1109778881072998
17.0,18.0,0.0,0.0,0.22915780544281006,0.17329491674900055,3.07089900970459,0.1044454574584961
18.0,19.0,0.0,0.0,0.21492162346839905,0.15731211006641388,3.0786173343658447,0.11216378211975098
19.0,20.0,0.0,0.0,0.22399646043777466,0.1911230832338333,3.1236884593963623,0.15723490715026855
20.0,21.0,0.0,0.0,0.21710793673992157,0.21302121877670288,3.1795105934143066,0.2130570411682129
21.0,22.0,0.0,0.0,0.22133256494998932,0.20421014726161957,3.1228203773498535,0.15636682510375977
22.0,23.0,0.0,0.0,0.2255629003047943,0.21702063083648682,3.105314016342163,0.13886046409606934
23.0,24.0,0.0,0.0,0.2234594076871872,0.19966796040534973,3.126749277114868,0.16029572486877441
24.0,25.0,0.0,0.0,0.2269924283027649,0.22001761198043823,3.131438970565796,0.16498541831970215
25.0,26.0,0.0,0.0,0.2052156925201416,0.14029143750667572,3.036034107208252,0.0695805549621582
26.0,27.0,0.0,0.0,0.19465871155261993,0.15208041667938232,3.0987229347229004,0.13226938247680664
27.0,28.0,0.0,0.0,0.1824948936700821,0.11645542085170746,3.0255956649780273,0.059142112731933594
28.0,29.0,0.0,0.0,0.16159625351428986,0.08816372603178024,3.0401196479797363,0.07366609573364258
29.0,30.0,0.0,0.0,0.14751678705215454,0.08098692446947098,3.0319111347198486,0.06545758247375488
30.0,31.0,0.0,0.0,0.12053504586219788,0.05215448886156082,3.006112813949585,0.03965926170349121
31.0,32.0,0.0,0.0,0.1050698310136795,0.03544026240706444,2.9637749195098877,-0.0026786327362060547
32.0,33.0,0.0,0.0,0.10052090138196945,0.035062968730926514,2.9825308322906494,0.016077280044555664
