lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,1.0,0.9863752126693726,2.704540491104126,7.061262607574463,-1.2764439582824707
2.0,3.0,1.0,1.0,0.8483394980430603,1.87172269821167,6.594511985778809,-1.743194580078125
3.0,4.0,1.0,1.0,0.6366168260574341,1.0794833898544312,8.316216468811035,-0.021490097045898438
4.0,5.0,1.0,0.0,0.5640830397605896,0.8429189324378967,7.781138896942139,-0.5565676689147949
5.0,6.0,0.0,0.0,0.3842785656452179,0.443098783493042,7.815723896026611,-0.5219826698303223
6.0,7.0,0.0,0.0,0.2768518626689911,0.25438350439071655,7.8102030754089355,-0.527503490447998
7.0,8.0,0.0,0.0,0.19920340180397034,0.14020025730133057,7.9166951179504395,-0.42101144790649414
8.0,9.0,0.0,0.0,0.1701057106256485,0.09469448029994965,8.066869735717773,-0.27083683013916016
9.0,10.0,0.0,0.0,0.1585068702697754,0.08705922216176987,8.183971405029297,-0.15373516082763672
10.0,11.0,0.0,0.0,0.14850863814353943,0.06553966552019119,8.064635276794434,-0.2730712890625
11.0,12.0,0.0,0.0,0.1214381605386734,0.04851173236966133,8.15211009979248,-0.18559646606445312
12.0,13.0,0.0,0.0,0.1090475469827652,0.04361698776483536,8.093317985534668,-0.24438858032226562
13.0,14.0,0.0,0.0,0.09352240711450577,0.028254330158233643,8.20202350616455,-0.1356830596923828
14.0,15.0,0.0,0.0,0.09713270515203476,0.03259703889489174,8.1643648147583,-0.1733417510986328
15.0,16.0,0.0,0.0,0.09406593441963196,0.028977423906326294,8.25020694732666,-0.08749961853027344
16.0,17.0,0.0,0.0,0.10002356022596359,0.03174576908349991,8.131375312805176,-0.2063312530517578
17.0,18.0,0.0,0.0,0.10758120566606522,0.03543451055884361,8.254293441772461,-0.08341312408447266
18.0,19.0,0.0,0.0,0.10245953500270844,0.033841319382190704,8.187033653259277,-0.15067291259765625
19.0,20.0,0.0,0.0,0.09798505902290344,0.03960998356342316,8.164841651916504,-0.1728649139404297
20.0,21.0,0.0,0.0,0.09490296244621277,0.03259209543466568,8.191030502319336,-0.14667606353759766
21.0,22.0,0.0,0.0,0.095518097281456,0.030494041740894318,8.264548301696777,-0.07315826416015625
22.0,23.0,0.0,0.0,0.10464230179786682,0.0379316471517086,8.173558235168457,-0.16414833068847656
23.0,24.0,0.0,0.0,0.09635014086961746,0.030871517956256866,8.241914749145508,-0.09579181671142578
24.0,25.0,0.0,0.0,0.09915812313556671,0.031165199354290962,8.151137351989746,-0.1865692138671875
25.0,26.0,0.0,0.0,0.09199938178062439,0.02776271104812622,8.198402404785156,-0.13930416107177734
26.0,27.0,0.0,0.0,0.08249533176422119,0.0199551060795784,8.233048439025879,-0.10465812683105469
27.0,28.0,0.0,0.0,0.08535192161798477,0.023309584707021713,8.241250038146973,-0.09645652770996094
28.0,29.0,0.0,0.0,0.08343573659658432,0.020420433953404427,8.199179649353027,-0.13852691650390625
29.0,30.0,0.0,0.0,0.08071170002222061,0.0201253779232502,8.259841918945312,-0.0778646469116211
30.0,31.0,0.0,0.0,0.0796867236495018,0.0186473298817873,8.199355125427246,-0.1383514404296875
31.0,32.0,0.0,0.0,0.07287650555372238,0.01482841745018959,8.29442024230957,-0.04328632354736328
32.0,33.0,0.0,0.0,0.06520518660545349,0.011369341053068638,8.255306243896484,-0.08240032196044922
