lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,1.0,1.5333971977233887,7.333572864532471,24.965761184692383,-5.727512359619141
2.0,3.0,1.0,1.0,1.360957384109497,5.913907051086426,25.827741622924805,-4.865531921386719
3.0,4.0,1.0,1.0,1.0694873332977295,3.1906816959381104,28.247722625732422,-2.4455509185791016
4.0,5.0,1.0,1.0,0.457334041595459,0.6021063923835754,31.027738571166992,0.33446502685546875
5.0,6.0,1.0,1.0,0.4533284306526184,0.8145627379417419,32.01332473754883,1.3200511932373047
6.0,7.0,1.0,1.0,0.4252775311470032,0.5704224705696106,28.27858543395996,-2.4146881103515625
7.0,8.0,1.0,0.0,0.4404965341091156,0.7173575162887573,30.245155334472656,-0.4481182098388672
8.0,9.0,0.0,0.0,0.4383588135242462,0.6635889410972595,28.52367401123047,-2.1695995330810547
9.0,10.0,0.0,0.0,0.3940785825252533,0.6164452433586121,30.130956649780273,-0.56231689453125
10.0,11.0,0.0,0.0,0.37341758608818054,0.46820446848869324,29.057708740234375,-1.6355648040771484
11.0,12.0,0.0,0.0,0.33166831731796265,0.46057450771331787,30.245441436767578,-0.4478321075439453
12.0,13.0,0.0,0.0,0.28329089283943176,0.28407683968544006,29.706035614013672,-0.9872379302978516
13.0,14.0,0.0,0.0,0.23979464173316956,0.24048587679862976,30.554203033447266,-0.1390705108642578
14.0,15.0,0.0,0.0,0.20683491230010986,0.15289217233657837,29.903827667236328,-0.7894458770751953
15.0,16.0,0.0,0.0,0.184910386800766,0.151694193482399,30.47229766845703,-0.2209758758544922
16.0,17.0,0.0,0.0,0.17629987001419067,0.11252304166555405,30.02252769470215,-0.670745849609375
17.0,18.0,0.0,0.0,0.16300681233406067,0.09932667016983032,30.338348388671875,-0.35492515563964844
18.0,19.0,0.0,0.0,0.16488970816135406,0.0987720787525177,30.148820877075195,-0.5444526672363281
19.0,20.0,0.0,0.0,0.1529490351676941,0.0867132693529129,30.388141632080078,-0.3051319122314453
20.0,21.0,0.0,0.0,0.15251508355140686,0.07979640364646912,30.202224731445312,-0.49104881286621094
21.0,22.0,0.0,0.0,0.15128113329410553,0.08516784757375717,30.29438018798828,-0.3988933563232422
22.0,23.0,0.0,0.0,0.1592686027288437,0.08559954911470413,30.04888916015625,-0.6443843841552734
23.0,24.0,0.0,0.0,0.16391028463840485,0.10227037221193314,30.206140518188477,-0.4871330261230469
24.0,25.0,0.0,0.0,0.16791830956935883,0.09810107201337814,30.03691864013672,-0.6563549041748047
25.0,26.0,0.0,0.0,0.15063072741031647,0.08002976328134537,30.294254302978516,-0.3990192413330078
26.0,27.0,0.0,0.0,0.14402543008327484,0.07400375604629517,30.280179977416992,-0.41309356689453125
27.0,28.0,0.0,0.0,0.13644343614578247,0.06412283331155777,30.542034149169922,-0.15123939514160156
28.0,29.0,0.0,0.0,0.12529826164245605,0.055103760212659836,30.27915382385254,-0.4141197204589844
29.0,30.0,0.0,0.0,0.10730526596307755,0.037250787019729614,30.55141830444336,-0.14185523986816406
30.0,31.0,0.0,0.0,0.09830111265182495,0.03235670551657677,30.454519271850586,-0.2387542724609375
31.0,32.0,0.0,0.0,0.08941933512687683,0.025063583627343178,30.74943733215332,0.056163787841796875
32.0,33.0,0.0,0.0,0.08369924873113632,0.019765930250287056,30.563413619995117,-0.12985992431640625
