lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,1.0,1.0,0.9155839681625366,2.3707339763641357,4.363366603851318,-1.477776050567627
2.0,2.0,1.0,1.0,0.5637964010238647,0.8544288277626038,5.407491207122803,-0.4336514472961426
3.0,3.0,1.0,1.0,0.3664521276950836,0.36340054869651794,5.810427665710449,-0.030714988708496094
4.0,4.0,0.0,0.0,0.19597548246383667,0.11236356943845749,5.471591949462891,-0.3695507049560547
5.0,5.0,0.0,0.0,0.22831398248672485,0.1602431982755661,5.4260759353637695,-0.4150667190551758
6.0,6.0,0.0,0.0,0.11154882609844208,0.04750385507941246,5.602564811706543,-0.23857784271240234
7.0,7.0,0.0,0.0,0.14815843105316162,0.07860180735588074,5.464846134185791,-0.3762965202331543
8.0,8.0,0.0,0.0,0.11687766015529633,0.05664903670549393,5.602120876312256,-0.23902177810668945
9.0,9.0,0.0,0.0,0.11740247905254364,0.051004793494939804,5.621341705322266,-0.2198009490966797
10.0,10.0,0.0,0.0,0.11188720166683197,0.04547392949461937,5.661078929901123,-0.18006372451782227
11.0,11.0,0.0,0.0,0.11314724385738373,0.04943297430872917,5.594732761383057,-0.24640989303588867
12.0,12.0,0.0,0.0,0.10703472048044205,0.040993355214595795,5.647265434265137,-0.1938772201538086
13.0,13.0,0.0,0.0,0.11178092658519745,0.0489865280687809,5.612677574157715,-0.22846508026123047
14.0,14.0,0.0,0.0,0.10566283762454987,0.03995675593614578,5.617811679840088,-0.22333097457885742
15.0,15.0,0.0,0.0,0.09915199130773544,0.03165031224489212,5.686347007751465,-0.15479564666748047
16.0,16.0,0.0,0.0,0.0994202047586441,0.04222990572452545,5.67356538772583,-0.16757726669311523
17.0,17.0,0.0,0.0,0.0944507047533989,0.03195749223232269,5.672942161560059,-0.16820049285888672
18.0,18.0,0.0,0.0,0.09700790047645569,0.037196047604084015,5.709400177001953,-0.1317424774169922
19.0,19.0,0.0,0.0,0.09965556114912033,0.03567524626851082,5.659849166870117,-0.18129348754882812
20.0,20.0,0.0,0.0,0.10317511111497879,0.04313841462135315,5.679759979248047,-0.16138267517089844
21.0,21.0,0.0,0.0,0.10145143419504166,0.041527289897203445,5.644434928894043,-0.19670772552490234
22.0,22.0,0.0,0.0,0.10015401989221573,0.03646527975797653,5.689529895782471,-0.1516127586364746
23.0,23.0,0.0,0.0,0.10433055460453033,0.04310121014714241,5.663827896118164,-0.17731475830078125
24.0,24.0,0.0,0.0,0.1030338779091835,0.036334194242954254,5.726172924041748,-0.11496973037719727
25.0,25.0,0.0,0.0,0.10699580609798431,0.040632668882608414,5.700499057769775,-0.14064359664916992
26.0,26.0,0.0,0.0,0.10619287192821503,0.037599705159664154,5.694054126739502,-0.14708852767944336
27.0,27.0,0.0,0.0,0.10502851754426956,0.040935467928647995,5.693278789520264,-0.14786386489868164
28.0,28.0,0.0,0.0,0.0979277715086937,0.03474991023540497,5.683852672576904,-0.15728998184204102
29.0,29.0,0.0,0.0,0.0934000238776207,0.030191916972398758,5.688256740570068,-0.15288591384887695
30.0,30.0,0.0,0.0,0.08958086371421814,0.027122769504785538,5.7308478355407715,-0.11029481887817383
31.0,31.0,0.0,0.0,0.07353769242763519,0.01644160784780979,5.7652130126953125,-0.07592964172363281
32.0,32.0,0.0,0.0,0.06298372894525528,0.010910434648394585,5.810361385345459,-0.030781269073486328
