test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
1,0,1,1,0.22433564066886902
1,0,2,0,0.22433564066886902
1,0,3,0,0.13543003797531128
1,0,4,0,0.13543003797531128
1,0,5,0,0.009599893353879452
1,0,6,0,0.009599893353879452
1,0,7,0,0.012987153604626656
1,0,8,0,0.012987153604626656
1,0,9,0,0.02564440667629242
1,0,10,0,0.02564440667629242
1,0,11,0,0.0099770687520504
1,0,12,0,0.0099770687520504
1,0,13,0,0.0076643330976367
1,0,14,0,0.0076643330976367
1,0,15,0,0.007925812155008316
1,0,16,0,0.007925812155008316
1,0,17,0,0.008330180309712887
1,0,18,0,0.008330180309712887
1,0,19,0,0.007930384017527103
1,0,20,0,0.007930384017527103
1,0,21,0,0.007660873234272003
1,0,22,0,0.007660873234272003
1,0,23,0,0.008927997201681137
1,0,24,0,0.008927997201681137
1,0,25,0,0.006628857925534248
1,0,26,0,0.006628857925534248
1,0,27,0,0.006807414814829826
1,0,28,0,0.006807414814829826
1,0,29,0,0.007379380986094475
1,0,30,0,0.007379380986094475
1,0,31,0,0.012770576402544975
1,0,32,0,0.012770576402544975
1,1,1,1,0.044659651815891266
1,1,2,0,0.044659651815891266
1,1,3,0,0.04383620619773865
1,1,4,0,0.04383620619773865
1,1,5,0,0.041288502514362335
1,1,6,0,0.041288502514362335
1,1,7,0,0.03700701519846916
1,1,8,0,0.03700701519846916
1,1,9,0,0.03439909964799881
1,1,10,0,0.03439909964799881
1,1,11,0,0.034386906772851944
1,1,12,0,0.034386906772851944
1,1,13,0,0.03437018021941185
1,1,14,0,0.03437018021941185
1,1,15,0,0.033172134310007095
1,1,16,0,0.033172134310007095
1,1,17,0,0.03150123357772827
1,1,18,0,0.03150123357772827
1,1,19,0,0.029337849467992783
1,1,20,0,0.029337849467992783
1,1,21,0,0.02648450993001461
1,1,22,0,0.02648450993001461
1,1,23,0,0.025174526497721672
1,1,24,0,0.025174526497721672
1,1,25,0,0.024940557777881622
1,1,26,0,0.024940557777881622
1,1,27,0,0.024734489619731903
1,1,28,0,0.024734489619731903
1,1,29,0,0.018903713673353195
1,1,30,0,0.018903713673353195
1,1,31,0,0.015803463757038116
1,1,32,0,0.015803463757038116
2,0,1,1,0.22509640455245972
2,0,2,1,0.22509640455245972
2,0,3,0,0.13526390492916107
2,0,4,0,0.13526390492916107
2,0,5,0,0.009754020720720291
2,0,6,0,0.009754020720720291
2,0,7,0,0.012370116077363491
2,0,8,0,0.012370116077363491
2,0,9,0,0.025861887261271477
2,0,10,0,0.025861887261271477
2,0,11,0,0.010083851404488087
2,0,12,0,0.010083851404488087
2,0,13,0,0.007587491534650326
2,0,14,0,0.007587491534650326
