test_ar_order,layer,patch_index,patch_label,patch_min_lag,patch_max_lag,patch_overlaps_true_support,context_normalized_attention
1,0,1,lags 31-32,31,32,0,0.02554115280508995
1,0,2,lags 29-30,29,30,0,0.01475876197218895
1,0,3,lags 27-28,27,28,0,0.013614829629659653
1,0,4,lags 25-26,25,26,0,0.013257715851068497
1,0,5,lags 23-24,23,24,0,0.017855994403362274
1,0,6,lags 21-22,21,22,0,0.015321746468544006
1,0,7,lags 19-20,19,20,0,0.015860768035054207
1,0,8,lags 17-18,17,18,0,0.016660360619425774
1,0,9,lags 15-16,15,16,0,0.015851624310016632
1,0,10,lags 13-14,13,14,0,0.0153286661952734
1,0,11,lags 11-12,11,12,0,0.0199541375041008
1,0,12,lags 9-10,9,10,0,0.05128881335258484
1,0,13,lags 7-8,7,8,0,0.02597430720925331
1,0,14,lags 5-6,5,6,0,0.019199786707758904
1,0,15,lags 3-4,3,4,0,0.27086007595062256
1,0,16,lags 1-2,1,2,1,0.44867128133773804
1,1,1,lags 31-32,31,32,0,0.031606923788785934
1,1,2,lags 29-30,29,30,0,0.03780742362141609
1,1,3,lags 27-28,27,28,0,0.04946897551417351
1,1,4,lags 25-26,25,26,0,0.049881111830472946
1,1,5,lags 23-24,23,24,0,0.050349049270153046
1,1,6,lags 21-22,21,22,0,0.05296901613473892
1,1,7,lags 19-20,19,20,0,0.05867569521069527
1,1,8,lags 17-18,17,18,0,0.06300245970487595
1,1,9,lags 15-16,15,16,0,0.0663442611694336
1,1,10,lags 13-14,13,14,0,0.0687403529882431
1,1,11,lags 11-12,11,12,0,0.06877380609512329
1,1,12,lags 9-10,9,10,0,0.06879819184541702
1,1,13,lags 7-8,7,8,0,0.07401402294635773
1,1,14,lags 5-6,5,6,0,0.08257699757814407
1,1,15,lags 3-4,3,4,0,0.0876724049448967
1,1,16,lags 1-2,1,2,1,0.08931929618120193
2,0,1,lags 31-32,31,32,0,0.025021543726325035
2,0,2,lags 29-30,29,30,0,0.015066709369421005
2,0,3,lags 27-28,27,28,0,0.013565297238528728
2,0,4,lags 25-26,25,26,0,0.013251028023660183
2,0,5,lags 23-24,23,24,0,0.01768406853079796
2,0,6,lags 21-22,21,22,0,0.014902761206030846
2,0,7,lags 19-20,19,20,0,0.016219086945056915
2,0,8,lags 17-18,17,18,0,0.01659306325018406
2,0,9,lags 15-16,15,16,0,0.015661178156733513
2,0,10,lags 13-14,13,14,0,0.015174981206655502
2,0,11,lags 11-12,11,12,0,0.020167700946331024
2,0,12,lags 9-10,9,10,0,0.05172376707196236
2,0,13,lags 7-8,7,8,0,0.024740228429436684
2,0,14,lags 5-6,5,6,0,0.019508039578795433
2,0,15,lags 3-4,3,4,0,0.27052778005599976
2,0,16,lags 1-2,1,2,1,0.45019274950027466
2,1,1,lags 31-32,31,32,0,0.03227612003684044
2,1,2,lags 29-30,29,30,0,0.03835982084274292
2,1,3,lags 27-28,27,28,0,0.05096130818128586
2,1,4,lags 25-26,25,26,0,0.049076832830905914
2,1,5,lags 23-24,23,24,0,0.05002802610397339
2,1,6,lags 21-22,21,22,0,0.05249481648206711
2,1,7,lags 19-20,19,20,0,0.05748838558793068
2,1,8,lags 17-18,17,18,0,0.06163906306028366
2,1,9,lags 15-16,15,16,0,0.06594251096248627
2,1,10,lags 13-14,13,14,0,0.06653071194887161
2,1,11,lags 11-12,11,12,0,0.06759098917245865
2,1,12,lags 9-10,9,10,0,0.06871051341295242
2,1,13,lags 7-8,7,8,0,0.07352393120527267
2,1,14,lags 5-6,5,6,0,0.08258283883333206
2,1,15,lags 3-4,3,4,0,0.090459443628788
2,1,16,lags 1-2,1,2,1,0.09233468770980835
3,0,1,lags 31-32,31,32,0,0.02574363350868225
3,0,2,lags 29-30,29,30,0,0.015312585979700089
3,0,3,lags 27-28,27,28,0,0.01367011945694685
3,0,4,lags 25-26,25,26,0,0.01333101000636816
3,0,5,lags 23-24,23,24,0,0.018673919141292572
3,0,6,lags 21-22,21,22,0,0.015027794986963272
3,0,7,lags 19-20,19,20,0,0.016018355265259743
3,0,8,lags 17-18,17,18,0,0.016659649088978767
3,0,9,lags 15-16,15,16,0,0.01565903052687645
3,0,10,lags 13-14,13,14,0,0.01487827580422163
3,0,11,lags 11-12,11,12,0,0.019535252824425697
3,0,12,lags 9-10,9,10,0,0.05144546180963516
3,0,13,lags 7-8,7,8,0,0.02533772587776184
