checkpoint_label,checkpoint,train_ar_order,test_ar_order,is_diagonal,patch_size,patch_stride,median_mase_to_noisy_next_x,median_smape_percent_to_noisy_next_x,mean_wql_to_noisy_next_x,zero_mase_to_noisy_next_x,last_value_mase_to_noisy_next_x,ols_mase_to_noisy_next_x,analytic_optimum_mase_to_noisy_next_x,median_mae_to_noisy_next_x,median_mse_to_noisy_next_x,median_mse_to_conditional_mean,zero_mse_to_conditional_mean,model_mse_over_zero_mse,mase_improvement_vs_zero_percent,wql_q0.1,wql_q0.2,wql_q0.3,wql_q0.4,wql_q0.5,wql_q0.6,wql_q0.7,wql_q0.8,wql_q0.9,mase_over_matched_specialist,failure_mode
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,1,1,1,1,0.7187331318855286,130.3256392478943,0.6500043272972107,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.8182719945907593,1.0394859313964844,0.08423670381307602,0.6477575898170471,0.13004356126011254,15.627656021624123,0.37463831901550293,0.5919402241706848,0.730915904045105,0.8118123412132263,0.8383997678756714,0.8114333152770996,0.729806125164032,0.5898255109786987,0.3712674081325531,1.0,in_distribution
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,2,0,1,1,0.7379261255264282,129.53670024871826,0.6520572304725647,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,1.0206751823425293,1.7179983854293823,0.7357837557792664,1.616495966911316,0.45517203311379056,15.160742258342848,0.37868067622184753,0.59473717212677,0.7300401329994202,0.8089735507965088,0.8378558158874512,0.8094750642776489,0.7312705516815186,0.595087468624115,0.3823942542076111,1.1554403714702306,good_transfer
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,3,0,1,1,0.733372688293457,127.3422122001648,0.6527671813964844,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,1.24566650390625,2.693570852279663,1.6115740537643433,3.001481771469116,0.5369261506377686,15.192872865045997,0.37957292795181274,0.5930349230766296,0.7312673926353455,0.8071019053459167,0.8349059224128723,0.809556245803833,0.7323111295700073,0.599311351776123,0.38784274458885193,1.2497194874626867,good_transfer
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,4,0,1,1,0.7206388115882874,124.75529909133911,0.6246855854988098,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.4392014741897583,3.626312255859375,2.6711456775665283,5.026864528656006,0.5313741124988487,18.688049160914673,0.3506737947463989,0.5618774890899658,0.6971787214279175,0.7755789160728455,0.8064737319946289,0.7833597660064697,0.7064179182052612,0.5739749670028687,0.3666355013847351,1.245260536469894,good_transfer
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,5,0,1,1,0.7393917441368103,123.06787967681885,0.6105786561965942,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.7350208759307861,5.32524299621582,4.281230449676514,8.175668716430664,0.5236550792563932,19.470002727193,0.34025344252586365,0.5453145503997803,0.6827605366706848,0.7607890963554382,0.7903671264648438,0.7677695751190186,0.6921761631965637,0.5606697797775269,0.3551076352596283,1.304828733099855,graceful_degradation
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,6,0,1,1,0.7295016050338745,123.7103819847107,0.6068666577339172,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.996086835861206,7.343132019042969,6.283062934875488,11.452367782592773,0.5486256688704618,21.138062448391658,0.3428163528442383,0.545418381690979,0.6771941184997559,0.75385981798172,0.78513503074646,0.760656476020813,0.6846565008163452,0.5573559999465942,0.3547073304653168,1.4350385375488277,graceful_degradation
ar1,outputs\ar1\scalar\sanity\ar1_scalar_rope_seed7_best_model.pt,1,7,0,1,1,0.7194507122039795,122.54258394241333,0.5919459462165833,0.9190888404846191,1.0607483386993408,0.36884400248527527,0.30740296840667725,2.2318198680877686,9.26174259185791,8.444329261779785,16.68950080871582,0.505966556972745,21.721309136489356,0.3329649269580841,0.5321331024169922,0.663659930229187,0.7387364506721497,0.7678563594818115,0.7426084280014038,0.6675817966461182,0.5394643545150757,0.342508465051651,1.307575237102942,graceful_degradation
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,1,0,1,1,0.7377543449401855,128.91463041305542,0.6687328815460205,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.8411198854446411,1.1058493852615356,0.14682459831237793,0.6477575898170471,0.22666596365755765,13.394748897218598,0.38419777154922485,0.6064798831939697,0.750605046749115,0.8327577114105225,0.8618096709251404,0.8362299799919128,0.7543332576751709,0.6098334789276123,0.3823486864566803,1.0264649175205776,good_transfer
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,2,1,1,1,0.638653576374054,110.49342155456543,0.5393082499504089,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,0.8462891578674316,1.1163618564605713,0.1462562084197998,1.616495966911316,0.09047731105649193,26.574092582809676,0.30843213200569153,0.48751959204673767,0.6044683456420898,0.6746094822883606,0.6947051882743835,0.672947108745575,0.607147216796875,0.4923362731933594,0.31160855293273926,1.0,in_distribution
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,3,0,1,1,0.6402286887168884,108.56659412384033,0.5457103848457336,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,1.0457512140274048,1.7957615852355957,0.7295262217521667,3.001481771469116,0.2430553564198693,25.964033476889348,0.31579115986824036,0.4961332678794861,0.6142454743385315,0.6797893643379211,0.7009130120277405,0.6786635518074036,0.6134805083274841,0.49988672137260437,0.31249064207077026,1.090995453599463,good_transfer
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,4,0,1,1,0.6338661313056946,106.62127733230591,0.5237966179847717,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.2105932235717773,2.4527907371520996,1.5130523443222046,5.026864528656006,0.3009932604503145,28.478884458507363,0.3005363941192627,0.47406458854675293,0.5887019634246826,0.6537235379219055,0.6783704161643982,0.6569477319717407,0.5898171067237854,0.47571420669555664,0.29629379510879517,1.0953177459040073,good_transfer
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,5,0,1,1,0.6404776573181152,103.20452451705933,0.5075603723526001,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.4335912466049194,3.533046007156372,2.490772008895874,8.175668716430664,0.30465667033329796,30.243116174721344,0.2866324186325073,0.4556046724319458,0.5665306448936462,0.6333192586898804,0.6530546545982361,0.6347962021827698,0.5745429396629333,0.4683266878128052,0.295235812664032,1.1302718170768844,good_transfer
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,6,0,1,1,0.6286615133285522,103.32130193710327,0.5009724497795105,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.641822099685669,4.765894889831543,3.8102848529815674,11.452367782592773,0.33270716809960266,32.039265351700294,0.2834340035915375,0.4483683109283447,0.5593079924583435,0.6241922974586487,0.6457895636558533,0.6286237835884094,0.5689387321472168,0.4619961082935333,0.2881008982658386,1.236671026458327,good_transfer
ar2,outputs\ar2\scalar\sanity\ar2_scalar_rope_seed7_best_model.pt,2,7,0,1,1,0.6226030588150024,101.39279365539551,0.485326886177063,0.9190888404846191,1.0607483386993408,0.36884400248527527,0.30740296840667725,1.8227417469024658,5.851897239685059,4.970074653625488,16.68950080871582,0.2977964835850541,32.25866408227577,0.2752706706523895,0.4387316107749939,0.5441240668296814,0.6048592925071716,0.6271132230758667,0.6070883870124817,0.5483729839324951,0.44560953974723816,0.2767717242240906,1.1315581852120389,good_transfer
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,1,0,1,1,0.7629151940345764,129.81613874435425,0.6975529789924622,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.8729919791221619,1.1885201930999756,0.21410487592220306,0.6477575898170471,0.3305324079377826,10.44110766321735,0.40242621302604675,0.6314221620559692,0.7759327292442322,0.8633785843849182,0.8944657444953918,0.8672984838485718,0.794685959815979,0.6420599222183228,0.4063069522380829,1.061472137833886,good_transfer
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,2,0,1,1,0.6621124744415283,113.13467025756836,0.5649228692054749,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,0.8809989094734192,1.2202365398406982,0.24988725781440735,1.616495966911316,0.15458576014382142,23.87702653427818,0.32823625206947327,0.5119770765304565,0.6303794384002686,0.6996553540229797,0.7231978178024292,0.699799656867981,0.6374739408493042,0.5187006592750549,0.3348853886127472,1.0367318041193192,good_transfer
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,3,1,1,1,0.5868298411369324,100.7730484008789,0.4895452857017517,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,0.9360967874526978,1.3880034685134888,0.37542229890823364,3.001481771469116,0.12507898681139684,32.13906961862423,0.2881535291671753,0.44648367166519165,0.5490836501121521,0.6078334450721741,0.6274173259735107,0.605278491973877,0.5496859550476074,0.4471811354160309,0.28479039669036865,1.0,in_distribution
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,4,0,1,1,0.5769704580307007,99.31548833847046,0.46895238757133484,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.0714669227600098,1.9042519330978394,0.9584104418754578,5.026864528656006,0.19065770251256414,34.89860278882683,0.2753898799419403,0.43083104491233826,0.5297219157218933,0.584661602973938,0.6004093289375305,0.577351450920105,0.5242758393287659,0.4255857467651367,0.2723449766635895,0.9970022853904645,good_transfer
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,5,0,1,1,0.5829243659973145,95.687335729599,0.4540880024433136,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.273305892944336,2.7903339862823486,1.7681797742843628,8.175668716430664,0.21627341268498892,36.51146638265601,0.2665979862213135,0.4119371175765991,0.5056280493736267,0.5597474575042725,0.5800387263298035,0.5643059015274048,0.5120434761047363,0.4174414873123169,0.2690514922142029,1.0287056462407218,good_transfer
ar3,outputs\ar3\scalar\sanity\ar3_scalar_rope_seed7_best_model.pt,3,6,0,1,1,0.5695122480392456,95.15226483345032,0.4522818922996521,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.4635906219482422,3.7684407234191895,2.8300352096557617,11.452367782592773,0.24711354572085287,38.4335290973602,0.2627635896205902,0.40850168466567993,0.5031300187110901,0.5559674501419067,0.5756844878196716,0.5621011257171631,0.5129662752151489,0.4200557768344879,0.26936668157577515,1.1203155934172813,good_transfer
