test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
1,0,1,1,0.07760173082351685
1,0,2,0,0.07760173082351685
1,0,3,0,0.07760173082351685
1,0,4,0,0.07760173082351685
1,0,5,0,0.0723293125629425
1,0,6,0,0.0723293125629425
1,0,7,0,0.0723293125629425
1,0,8,0,0.0723293125629425
1,0,9,0,0.021586399525403976
1,0,10,0,0.021586399525403976
1,0,11,0,0.021586399525403976
1,0,12,0,0.021586399525403976
1,0,13,0,0.018030723556876183
1,0,14,0,0.018030723556876183
1,0,15,0,0.018030723556876183
1,0,16,0,0.018030723556876183
1,0,17,0,0.01573614403605461
1,0,18,0,0.01573614403605461
1,0,19,0,0.01573614403605461
1,0,20,0,0.01573614403605461
1,0,21,0,0.014494948089122772
1,0,22,0,0.014494948089122772
1,0,23,0,0.014494948089122772
1,0,24,0,0.014494948089122772
1,0,25,0,0.01447644829750061
1,0,26,0,0.01447644829750061
1,0,27,0,0.01447644829750061
1,0,28,0,0.01447644829750061
1,0,29,0,0.0157442856580019
1,0,30,0,0.0157442856580019
1,0,31,0,0.0157442856580019
1,0,32,0,0.0157442856580019
1,1,1,1,0.04740861430764198
1,1,2,0,0.04740861430764198
1,1,3,0,0.04740861430764198
1,1,4,0,0.04740861430764198
1,1,5,0,0.03631339222192764
1,1,6,0,0.03631339222192764
1,1,7,0,0.03631339222192764
1,1,8,0,0.03631339222192764
1,1,9,0,0.033933915197849274
1,1,10,0,0.033933915197849274
1,1,11,0,0.033933915197849274
1,1,12,0,0.033933915197849274
1,1,13,0,0.03258512169122696
1,1,14,0,0.03258512169122696
1,1,15,0,0.03258512169122696
1,1,16,0,0.03258512169122696
1,1,17,0,0.030775193125009537
1,1,18,0,0.030775193125009537
1,1,19,0,0.030775193125009537
1,1,20,0,0.030775193125009537
1,1,21,0,0.028140375390648842
1,1,22,0,0.028140375390648842
1,1,23,0,0.028140375390648842
1,1,24,0,0.028140375390648842
1,1,25,0,0.02326333150267601
1,1,26,0,0.02326333150267601
1,1,27,0,0.02326333150267601
1,1,28,0,0.02326333150267601
1,1,29,0,0.017580028623342514
1,1,30,0,0.017580028623342514
1,1,31,0,0.017580028623342514
1,1,32,0,0.017580028623342514
2,0,1,1,0.07828808575868607
2,0,2,1,0.07828808575868607
2,0,3,0,0.07828808575868607
2,0,4,0,0.07828808575868607
2,0,5,0,0.0723595917224884
