test_ar_order,lag,strength,is_within_ar_order,base_mse_to_conditional_mean,mse_after_gaussian_perturbation,mse_increase_after_gaussian_perturbation
1,1,0.0,1,0.18047195672988892,0.18047195672988892,0.0
1,1,0.25,1,0.18047195672988892,0.2054756134748459,0.02500365674495697
1,1,0.5,1,0.18047195672988892,0.2811978757381439,0.100725919008255
1,1,1.0,1,0.18047195672988892,0.5601738691329956,0.3797019124031067
1,1,2.0,1,0.18047195672988892,1.4177942276000977,1.2373222708702087
1,2,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,2,0.25,0,0.18047195672988892,0.18657821416854858,0.006106257438659668
1,2,0.5,0,0.18047195672988892,0.20607957243919373,0.02560761570930481
1,2,1.0,0,0.18047195672988892,0.2932610511779785,0.1127890944480896
1,2,2.0,0,0.18047195672988892,0.7447274327278137,0.5642554759979248
1,3,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,3,0.25,0,0.18047195672988892,0.184881329536438,0.004409372806549072
1,3,0.5,0,0.18047195672988892,0.19715271890163422,0.0166807621717453
1,3,1.0,0,0.18047195672988892,0.24050575494766235,0.06003379821777344
1,3,2.0,0,0.18047195672988892,0.37870317697525024,0.19823122024536133
1,4,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,4,0.25,0,0.18047195672988892,0.1852102130651474,0.004738256335258484
1,4,0.5,0,0.18047195672988892,0.19852721691131592,0.018055260181427002
1,4,1.0,0,0.18047195672988892,0.24966339766979218,0.06919144093990326
1,4,2.0,0,0.18047195672988892,0.45707932114601135,0.27660736441612244
1,5,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,5,0.25,0,0.18047195672988892,0.18293756246566772,0.0024656057357788086
1,5,0.5,0,0.18047195672988892,0.18833273649215698,0.007860779762268066
1,5,1.0,0,0.18047195672988892,0.20673082768917084,0.02625887095928192
1,5,2.0,0,0.18047195672988892,0.27047717571258545,0.09000521898269653
1,6,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,6,0.25,0,0.18047195672988892,0.18319754302501678,0.0027255862951278687
1,6,0.5,0,0.18047195672988892,0.1887110322713852,0.008239075541496277
1,6,1.0,0,0.18047195672988892,0.20656196773052216,0.02609001100063324
1,6,2.0,0,0.18047195672988892,0.25847896933555603,0.07800701260566711
1,7,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,7,0.25,0,0.18047195672988892,0.18336978554725647,0.0028978288173675537
1,7,0.5,0,0.18047195672988892,0.18688717484474182,0.006415218114852905
1,7,1.0,0,0.18047195672988892,0.19702665507793427,0.01655469834804535
1,7,2.0,0,0.18047195672988892,0.2242666482925415,0.04379469156265259
1,8,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,8,0.25,0,0.18047195672988892,0.18090741336345673,0.00043545663356781006
1,8,0.5,0,0.18047195672988892,0.1833920180797577,0.0029200613498687744
1,8,1.0,0,0.18047195672988892,0.19305630028247833,0.012584343552589417
1,8,2.0,0,0.18047195672988892,0.22495722770690918,0.044485270977020264
1,9,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,9,0.25,0,0.18047195672988892,0.18037422001361847,-9.773671627044678e-05
1,9,0.5,0,0.18047195672988892,0.18069471418857574,0.0002227574586868286
1,9,1.0,0,0.18047195672988892,0.1822381615638733,0.001766204833984375
1,9,2.0,0,0.18047195672988892,0.1916077435016632,0.011135786771774292
1,10,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,10,0.25,0,0.18047195672988892,0.18132145702838898,0.000849500298500061
1,10,0.5,0,0.18047195672988892,0.182793989777565,0.0023220330476760864
1,10,1.0,0,0.18047195672988892,0.1860743761062622,0.005602419376373291
1,10,2.0,0,0.18047195672988892,0.19721190631389618,0.016739949584007263
1,11,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,11,0.25,0,0.18047195672988892,0.180571511387825,9.955465793609619e-05
1,11,0.5,0,0.18047195672988892,0.18099212646484375,0.000520169734954834
1,11,1.0,0,0.18047195672988892,0.18292509019374847,0.002453133463859558
1,11,2.0,0,0.18047195672988892,0.1938803493976593,0.013408392667770386
1,12,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,12,0.25,0,0.18047195672988892,0.1797303408384323,-0.000741615891456604
1,12,0.5,0,0.18047195672988892,0.17965067923069,-0.0008212774991989136
1,12,1.0,0,0.18047195672988892,0.18178391456604004,0.001311957836151123
1,12,2.0,0,0.18047195672988892,0.1921580284833908,0.011686071753501892
1,13,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,13,0.25,0,0.18047195672988892,0.18094579875469208,0.0004738420248031616
1,13,0.5,0,0.18047195672988892,0.18203620612621307,0.0015642493963241577
1,13,1.0,0,0.18047195672988892,0.1851707100868225,0.004698753356933594
1,13,2.0,0,0.18047195672988892,0.19571314752101898,0.015241190791130066
1,14,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,14,0.25,0,0.18047195672988892,0.18040905892848969,-6.289780139923096e-05
1,14,0.5,0,0.18047195672988892,0.18130551278591156,0.000833556056022644
1,14,1.0,0,0.18047195672988892,0.18519318103790283,0.004721224308013916
1,14,2.0,0,0.18047195672988892,0.19715073704719543,0.01667878031730652
1,15,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,15,0.25,0,0.18047195672988892,0.18034696578979492,-0.00012499094009399414
1,15,0.5,0,0.18047195672988892,0.18115350604057312,0.0006815493106842041
1,15,1.0,0,0.18047195672988892,0.18478095531463623,0.0043089985847473145
1,15,2.0,0,0.18047195672988892,0.19809716939926147,0.01762521266937256
1,16,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,16,0.25,0,0.18047195672988892,0.18107761442661285,0.000605657696723938
1,16,0.5,0,0.18047195672988892,0.18223322927951813,0.0017612725496292114
1,16,1.0,0,0.18047195672988892,0.18662703037261963,0.006155073642730713
1,16,2.0,0,0.18047195672988892,0.20070137083530426,0.020229414105415344
1,17,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,17,0.25,0,0.18047195672988892,0.18117716908454895,0.0007052123546600342
1,17,0.5,0,0.18047195672988892,0.18213574588298798,0.00166378915309906
1,17,1.0,0,0.18047195672988892,0.18454763293266296,0.004075676202774048
1,17,2.0,0,0.18047195672988892,0.19175532460212708,0.01128336787223816
1,18,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,18,0.25,0,0.18047195672988892,0.18096287548542023,0.000490918755531311
1,18,0.5,0,0.18047195672988892,0.18150460720062256,0.0010326504707336426
1,18,1.0,0,0.18047195672988892,0.18372082710266113,0.003248870372772217
1,18,2.0,0,0.18047195672988892,0.1924620419740677,0.011990085244178772
1,19,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,19,0.25,0,0.18047195672988892,0.1802486926317215,-0.00022326409816741943
1,19,0.5,0,0.18047195672988892,0.18071472644805908,0.00024276971817016602
1,19,1.0,0,0.18047195672988892,0.18352973461151123,0.0030577778816223145
1,19,2.0,0,0.18047195672988892,0.19708958268165588,0.016617625951766968
1,20,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,20,0.25,0,0.18047195672988892,0.18178382515907288,0.00131186842918396
1,20,0.5,0,0.18047195672988892,0.18352679908275604,0.0030548423528671265
1,20,1.0,0,0.18047195672988892,0.18845362961292267,0.007981672883033752
1,20,2.0,0,0.18047195672988892,0.2007887363433838,0.020316779613494873
1,21,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,21,0.25,0,0.18047195672988892,0.1806689202785492,0.00019696354866027832
1,21,0.5,0,0.18047195672988892,0.18154509365558624,0.0010731369256973267
1,21,1.0,0,0.18047195672988892,0.18430408835411072,0.0038321316242218018
1,21,2.0,0,0.18047195672988892,0.19111454486846924,0.010642588138580322
1,22,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,22,0.25,0,0.18047195672988892,0.1815563440322876,0.0010843873023986816
1,22,0.5,0,0.18047195672988892,0.18285340070724487,0.002381443977355957
1,22,1.0,0,0.18047195672988892,0.18586759269237518,0.005395635962486267
1,22,2.0,0,0.18047195672988892,0.1941145956516266,0.013642638921737671
1,23,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,23,0.25,0,0.18047195672988892,0.18128074705600739,0.0008087903261184692
1,23,0.5,0,0.18047195672988892,0.18257352709770203,0.0021015703678131104
1,23,1.0,0,0.18047195672988892,0.1857830286026001,0.005311071872711182
1,23,2.0,0,0.18047195672988892,0.198286235332489,0.017814278602600098
1,24,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,24,0.25,0,0.18047195672988892,0.18063803017139435,0.00016607344150543213
1,24,0.5,0,0.18047195672988892,0.18137018382549286,0.0008982270956039429
1,24,1.0,0,0.18047195672988892,0.184468612074852,0.003996655344963074
1,24,2.0,0,0.18047195672988892,0.193404421210289,0.012932464480400085
1,25,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,25,0.25,0,0.18047195672988892,0.18113331496715546,0.0006613582372665405
1,25,0.5,0,0.18047195672988892,0.1820220798254013,0.0015501230955123901
1,25,1.0,0,0.18047195672988892,0.18498285114765167,0.004510894417762756
1,25,2.0,0,0.18047195672988892,0.19399918615818024,0.01352722942829132
1,26,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,26,0.25,0,0.18047195672988892,0.18123814463615417,0.0007661879062652588
1,26,0.5,0,0.18047195672988892,0.18197020888328552,0.0014982521533966064
1,26,1.0,0,0.18047195672988892,0.1837535798549652,0.003281623125076294
1,26,2.0,0,0.18047195672988892,0.19071060419082642,0.0102386474609375
1,27,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,27,0.25,0,0.18047195672988892,0.1804065853357315,-6.537139415740967e-05
1,27,0.5,0,0.18047195672988892,0.180429145693779,-4.2811036109924316e-05
1,27,1.0,0,0.18047195672988892,0.18203970789909363,0.001567751169204712
1,27,2.0,0,0.18047195672988892,0.19255469739437103,0.012082740664482117
1,28,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,28,0.25,0,0.18047195672988892,0.18048270046710968,1.074373722076416e-05
1,28,0.5,0,0.18047195672988892,0.1807926446199417,0.0003206878900527954
1,28,1.0,0,0.18047195672988892,0.1820194572210312,0.001547500491142273
1,28,2.0,0,0.18047195672988892,0.18604958057403564,0.0055776238441467285
1,29,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,29,0.25,0,0.18047195672988892,0.18085013329982758,0.00037817656993865967
1,29,0.5,0,0.18047195672988892,0.18172727525234222,0.001255318522453308
1,29,1.0,0,0.18047195672988892,0.18444980680942535,0.003977850079536438
1,29,2.0,0,0.18047195672988892,0.19281689822673798,0.01234494149684906
1,30,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,30,0.25,0,0.18047195672988892,0.1808648407459259,0.0003928840160369873
1,30,0.5,0,0.18047195672988892,0.1816447675228119,0.0011728107929229736
1,30,1.0,0,0.18047195672988892,0.1833581030368805,0.002886146306991577
1,30,2.0,0,0.18047195672988892,0.18811771273612976,0.007645756006240845
1,31,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,31,0.25,0,0.18047195672988892,0.18107286095619202,0.0006009042263031006
1,31,0.5,0,0.18047195672988892,0.18211683630943298,0.0016448795795440674
1,31,1.0,0,0.18047195672988892,0.18541227281093597,0.004940316081047058
1,31,2.0,0,0.18047195672988892,0.1943591684103012,0.013887211680412292
1,32,0.0,0,0.18047195672988892,0.18047195672988892,0.0
1,32,0.25,0,0.18047195672988892,0.181081160902977,0.0006092041730880737
1,32,0.5,0,0.18047195672988892,0.1818062961101532,0.0013343393802642822
1,32,1.0,0,0.18047195672988892,0.18354013562202454,0.00306817889213562
1,32,2.0,0,0.18047195672988892,0.18849726021289825,0.008025303483009338
2,1,0.0,1,0.21710331737995148,0.21710331737995148,0.0
2,1,0.25,1,0.21710331737995148,0.2698175013065338,0.052714183926582336
