test_ar_order,layer,top_lag_by_distributed_attention,first_p_distributed_attention_mass,top_p_recall_by_distributed_attention,top_patch_label
1,0,1,0.07760173082351685,1.0,lags 1-4
1,1,1,0.04740861430764198,1.0,lags 1-4
2,0,1,0.15657617151737213,1.0,lags 1-4
2,1,1,0.09814728051424026,1.0,lags 1-4
3,0,1,0.23472070693969727,1.0,lags 1-4
3,1,1,0.14795461297035217,1.0,lags 1-4
4,0,1,0.3130141496658325,1.0,lags 1-4
4,1,1,0.19670455157756805,1.0,lags 1-4
5,0,1,0.3869059681892395,1.0,lags 1-4
5,1,1,0.23493073880672455,1.0,lags 1-4
6,0,1,0.45798248052597046,1.0,lags 1-4
6,1,1,0.27087637782096863,1.0,lags 1-4
7,0,1,0.5331310629844666,1.0,lags 1-4
7,1,1,0.30839288234710693,1.0,lags 1-4
