lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,0.0,0.4746650457382202,0.5851977467536926,0.7167893052101135,-0.6537203192710876
2.0,3.0,0.0,0.0,0.10446137934923172,0.04054189473390579,1.1677628755569458,-0.20274674892425537
3.0,4.0,0.0,0.0,0.05128404125571251,0.0075601739808917046,1.3577409982681274,-0.01276862621307373
4.0,5.0,0.0,0.0,0.053202833980321884,0.008225446566939354,1.3062827587127686,-0.06422686576843262
5.0,6.0,0.0,0.0,0.04447328671813011,0.005652029067277908,1.3814265727996826,0.010916948318481445
6.0,7.0,0.0,0.0,0.046297844499349594,0.006505269091576338,1.3235706090927124,-0.04693901538848877
7.0,8.0,0.0,0.0,0.045405153185129166,0.008746621198952198,1.3848176002502441,0.014307975769042969
8.0,9.0,0.0,0.0,0.04880489408969879,0.011243097484111786,1.337807059288025,-0.03270256519317627
9.0,10.0,0.0,0.0,0.04705986753106117,0.008913559839129448,1.3787236213684082,0.008213996887207031
10.0,11.0,0.0,0.0,0.046805065125226974,0.0072889248840510845,1.3360146284103394,-0.034494996070861816
11.0,12.0,0.0,0.0,0.04694060608744621,0.006535784807056189,1.361304759979248,-0.009204864501953125
12.0,13.0,0.0,0.0,0.04665743559598923,0.0071362657472491264,1.3400717973709106,-0.030437827110290527
13.0,14.0,0.0,0.0,0.04701633378863335,0.006815980188548565,1.3646973371505737,-0.005812287330627441
14.0,15.0,0.0,0.0,0.0457228384912014,0.008212690241634846,1.3507697582244873,-0.019739866256713867
15.0,16.0,0.0,0.0,0.04444821551442146,0.006666938774287701,1.3651340007781982,-0.00537562370300293
16.0,17.0,0.0,0.0,0.043388061225414276,0.006247191224247217,1.3488906621932983,-0.021618962287902832
17.0,18.0,0.0,0.0,0.04502104967832565,0.006532147526741028,1.3579106330871582,-0.012598991394042969
18.0,19.0,0.0,0.0,0.04570339620113373,0.006829258985817432,1.3450371026992798,-0.025472521781921387
19.0,20.0,0.0,0.0,0.04358921945095062,0.00522635830566287,1.357298493385315,-0.01321113109588623
20.0,21.0,0.0,0.0,0.043925218284130096,0.005622264929115772,1.3524363040924072,-0.018073320388793945
21.0,22.0,0.0,0.0,0.0415598526597023,0.005000535398721695,1.3585861921310425,-0.011923432350158691
22.0,23.0,0.0,0.0,0.041102975606918335,0.0047455644235014915,1.35713529586792,-0.01337432861328125
23.0,24.0,0.0,0.0,0.04227013140916824,0.005989328492432833,1.3614239692687988,-0.009085655212402344
24.0,25.0,0.0,0.0,0.043211985379457474,0.005894919391721487,1.3536975383758545,-0.01681208610534668
25.0,26.0,0.0,0.0,0.04362427443265915,0.006458840798586607,1.359647512435913,-0.010862112045288086
26.0,27.0,0.0,0.0,0.042323432862758636,0.005710838362574577,1.3614894151687622,-0.009020209312438965
27.0,28.0,0.0,0.0,0.041783515363931656,0.0057289921678602695,1.3616242408752441,-0.008885383605957031
28.0,29.0,0.0,0.0,0.04022189602255821,0.004681853111833334,1.3610378503799438,-0.009471774101257324
29.0,30.0,0.0,0.0,0.0401947982609272,0.005808329675346613,1.3576620817184448,-0.012847542762756348
30.0,31.0,0.0,0.0,0.04160016030073166,0.005398249719291925,1.3590631484985352,-0.011446475982666016
31.0,32.0,0.0,0.0,0.03968380019068718,0.004790350794792175,1.3581055402755737,-0.012404084205627441
32.0,33.0,0.0,0.0,0.03480849415063858,0.003154654521495104,1.3769673109054565,0.006457686424255371
