layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
0.0,1.0,1.0,0.00832581426948309,0.008076424710452557
0.0,2.0,1.0,0.28391578793525696,0.28276729583740234
0.0,3.0,1.0,0.13407623767852783,0.1304091513156891
0.0,4.0,0.0,0.30853772163391113,0.30640318989753723
0.0,5.0,0.0,0.014817706309258938,0.014713679440319538
0.0,6.0,0.0,9.016972762765363e-05,8.710150723345578e-05
0.0,7.0,0.0,1.1210656339244451e-05,1.0827895494003315e-05
0.0,8.0,0.0,9.199127816827968e-06,8.889464879757725e-06
0.0,9.0,0.0,2.0132751160417683e-05,1.9448058083071373e-05
0.0,10.0,0.0,1.8896098481491208e-05,1.825625258788932e-05
0.0,11.0,0.0,3.513699766699574e-06,3.396044576220447e-06
0.0,12.0,0.0,3.629506579727604e-07,3.521928988448053e-07
0.0,13.0,0.0,1.9783699656272802e-07,1.9461189992853178e-07
0.0,14.0,0.0,5.163890364201507e-07,5.082843586023955e-07
0.0,15.0,0.0,3.42578664458415e-06,3.3310554954368854e-06
0.0,16.0,0.0,2.3882515961304307e-05,2.3110340407583863e-05
0.0,17.0,0.0,0.00012323237024247646,0.00012248421262484044
0.0,18.0,0.0,1.5322417311836034e-05,1.5205621821223758e-05
0.0,19.0,0.0,2.659318306541536e-05,2.656871401995886e-05
0.0,20.0,0.0,9.347132436232641e-05,9.344521095044911e-05
0.0,21.0,0.0,0.0002727095561567694,0.00027259846683591604
0.0,22.0,0.0,0.0006140380282886326,0.0006136969313956797
0.0,23.0,0.0,0.0012651172000914812,0.0012650057906284928
0.0,24.0,0.0,0.002839385997503996,0.002839381108060479
0.0,25.0,0.0,0.006986184045672417,0.006986184045672417
0.0,26.0,0.0,0.01575355976819992,0.01575356163084507
0.0,27.0,0.0,0.026897499337792397,0.026897499337792397
0.0,28.0,0.0,0.03432471305131912,0.03432471305131912
0.0,29.0,0.0,0.03644256293773651,0.03644255921244621
0.0,30.0,0.0,0.03965848684310913,0.03965848684310913
0.0,31.0,0.0,0.04248931631445885,0.04248931631445885
0.0,32.0,0.0,0.04234305024147034,0.04234305024147034
1.0,1.0,1.0,0.4358859956264496,0.400095671415329
1.0,2.0,1.0,0.016619348898530006,0.014731694012880325
1.0,3.0,1.0,0.007536762394011021,0.007354747969657183
1.0,4.0,0.0,0.00813207682222128,0.007937426678836346
1.0,5.0,0.0,0.00987249892205,0.009638641960918903
1.0,6.0,0.0,0.012590574100613594,0.012054617516696453
1.0,7.0,0.0,0.059033531695604324,0.05412010848522186
1.0,8.0,0.0,0.020250800997018814,0.019430609419941902
1.0,9.0,0.0,0.017780223861336708,0.01755361072719097
1.0,10.0,0.0,0.020179105922579765,0.019954929128289223
1.0,11.0,0.0,0.021301783621311188,0.021079406142234802
1.0,12.0,0.0,0.021689528599381447,0.0214725099503994
1.0,13.0,0.0,0.025317935273051262,0.024830762296915054
1.0,14.0,0.0,0.02276422828435898,0.022408075630664825
1.0,15.0,0.0,0.02082151360809803,0.02063409611582756
1.0,16.0,0.0,0.020937344059348106,0.020769568160176277
1.0,17.0,0.0,0.019426880404353142,0.01926196739077568
1.0,18.0,0.0,0.016915597021579742,0.016769757494330406
1.0,19.0,0.0,0.016330720856785774,0.016153043136000633
1.0,20.0,0.0,0.01624392159283161,0.01602328009903431
1.0,21.0,0.0,0.016308313235640526,0.016152476891875267
1.0,22.0,0.0,0.016178535297513008,0.01602669060230255
1.0,23.0,0.0,0.016491977497935295,0.01633644290268421
1.0,24.0,0.0,0.01718769036233425,0.01702880859375
1.0,25.0,0.0,0.017398355528712273,0.017233721911907196
1.0,26.0,0.0,0.01769571751356125,0.017501214519143105
1.0,27.0,0.0,0.01775066740810871,0.01757308468222618
1.0,28.0,0.0,0.016973495483398438,0.016802700236439705
1.0,29.0,0.0,0.01595127210021019,0.01578458398580551
1.0,30.0,0.0,0.014569343999028206,0.014408628456294537
1.0,31.0,0.0,0.0127760274335742,0.012624867260456085
1.0,32.0,0.0,0.011088227853178978,0.01091757696121931
