lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,1.0,5.7537031173706055,107.64588165283203,283.98394775390625,-61.30767822265625
2.0,3.0,1.0,1.0,7.253293037414551,229.91700744628906,325.29412841796875,-19.99749755859375
3.0,4.0,1.0,1.0,3.790334463119507,50.09904861450195,377.27044677734375,31.97882080078125
4.0,5.0,1.0,1.0,2.6919901371002197,20.514265060424805,367.6329345703125,22.34130859375
5.0,6.0,1.0,1.0,1.1044727563858032,5.902629852294922,346.5823974609375,1.290771484375
6.0,7.0,1.0,1.0,1.1554205417633057,6.216132640838623,316.1141357421875,-29.177490234375
7.0,8.0,1.0,1.0,1.162500262260437,6.110755920410156,346.2578125,0.9661865234375
8.0,9.0,1.0,1.0,1.1842501163482666,7.1032586097717285,318.1474304199219,-27.144195556640625
9.0,10.0,1.0,1.0,1.190030574798584,7.769570350646973,347.1119079589844,1.820281982421875
10.0,11.0,1.0,1.0,1.1483440399169922,5.928238391876221,327.8740539550781,-17.417572021484375
11.0,12.0,1.0,1.0,1.178271770477295,7.029107570648193,343.24444580078125,-2.04718017578125
12.0,13.0,1.0,1.0,1.0624890327453613,4.797519683837891,330.98046875,-14.3111572265625
13.0,14.0,1.0,1.0,1.0571211576461792,4.734170913696289,338.58599853515625,-6.70562744140625
14.0,15.0,1.0,1.0,0.9526230096817017,3.6509199142456055,332.60125732421875,-12.69036865234375
15.0,16.0,1.0,0.0,0.9310069680213928,4.000316619873047,334.0929870605469,-11.198638916015625
16.0,17.0,0.0,0.0,0.8782526850700378,3.2342844009399414,330.3870849609375,-14.904541015625
17.0,18.0,0.0,0.0,0.9188833832740784,3.52953839302063,337.7105712890625,-7.5810546875
18.0,19.0,0.0,0.0,0.8771886229515076,3.072296619415283,333.85675048828125,-11.43487548828125
19.0,20.0,0.0,0.0,0.9333423972129822,3.6903114318847656,335.6712646484375,-9.620361328125
20.0,21.0,0.0,0.0,0.8987026810646057,3.588642120361328,334.36138916015625,-10.93023681640625
21.0,22.0,0.0,0.0,0.9686257243156433,4.8699259757995605,336.42620849609375,-8.86541748046875
22.0,23.0,0.0,0.0,0.9010624885559082,3.790005922317505,337.59429931640625,-7.69732666015625
23.0,24.0,0.0,0.0,0.883284330368042,3.520160675048828,333.9442443847656,-11.347381591796875
24.0,25.0,0.0,0.0,0.8330544233322144,2.957977533340454,333.48919677734375,-11.80242919921875
25.0,26.0,0.0,0.0,0.8137001991271973,3.1160178184509277,335.18878173828125,-10.10284423828125
26.0,27.0,0.0,0.0,0.7564088106155396,2.5460715293884277,335.5852355957031,-9.706390380859375
27.0,28.0,0.0,0.0,0.6685745716094971,1.9503129720687866,338.4510498046875,-6.840576171875
28.0,29.0,0.0,0.0,0.612092912197113,1.6550922393798828,338.0398254394531,-7.251800537109375
29.0,30.0,0.0,0.0,0.5545251369476318,1.8058924674987793,336.87542724609375,-8.41619873046875
30.0,31.0,0.0,0.0,0.48248568177223206,0.959283709526062,342.23492431640625,-3.05670166015625
31.0,32.0,0.0,0.0,0.39042890071868896,0.6548081040382385,340.79901123046875,-4.49261474609375
32.0,33.0,0.0,0.0,0.35820508003234863,0.49522748589515686,345.9440612792969,0.652435302734375
