lag,is_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,5.94349479675293,189.5052490234375,206.68565368652344,190.7445478439331
2.0,1.0,7.616410255432129,309.72589111328125,327.3994140625,311.45830821990967
3.0,1.0,3.978250503540039,101.34405517578125,122.127685546875,106.18657970428467
4.0,1.0,2.708310127258301,21.41887092590332,39.96015930175781,24.01905345916748
5.0,1.0,1.1793473958969116,6.006003379821777,21.798675537109375,5.857569694519043
6.0,1.0,1.1920604705810547,6.984283924102783,24.446365356445312,8.50525951385498
7.0,1.0,1.1707786321640015,10.197833061218262,26.37679672241211,10.435690879821777
8.0,1.0,1.1784929037094116,6.567774772644043,23.77712059020996,7.836014747619629
9.0,1.0,1.230017066001892,7.406874179840088,23.27309799194336,7.331992149353027
10.0,1.0,1.2027281522750854,6.557623863220215,23.593769073486328,7.652663230895996
11.0,1.0,1.189376711845398,7.876548767089844,24.144512176513672,8.20340633392334
12.0,1.0,1.1189563274383545,6.204472064971924,23.125558853149414,7.184453010559082
13.0,1.0,1.0533517599105835,5.218112945556641,21.30522346496582,5.364117622375488
14.0,1.0,1.0005179643630981,4.494962215423584,21.84037971496582,5.899273872375488
15.0,1.0,0.9556418657302856,5.240395545959473,21.919330596923828,5.978224754333496
16.0,0.0,0.9749037027359009,5.281999111175537,23.240694046020508,7.299588203430176
17.0,0.0,0.98961341381073,5.983752727508545,23.229652404785156,7.288546562194824
18.0,0.0,0.9387004375457764,5.552206993103027,23.849075317382812,7.9079694747924805
19.0,0.0,0.9237377643585205,3.8975415229797363,20.907163619995117,4.966057777404785
20.0,0.0,0.9118165373802185,4.33151912689209,22.465476989746094,6.524371147155762
21.0,0.0,0.9106948375701904,3.892765998840332,20.515979766845703,4.574873924255371
22.0,0.0,0.9596062898635864,5.803574085235596,22.471771240234375,6.530665397644043
23.0,0.0,0.8654384016990662,3.0771923065185547,19.318504333496094,3.3773984909057617
24.0,0.0,0.818116307258606,2.792503833770752,19.481822967529297,3.540717124938965
25.0,0.0,0.8196405172348022,3.030759811401367,19.726709365844727,3.7856035232543945
26.0,0.0,0.7338345050811768,2.7656397819519043,19.45086669921875,3.509760856628418
27.0,0.0,0.6765730977058411,2.768153429031372,19.090682983398438,3.1495771408081055
28.0,0.0,0.5997847318649292,1.7291052341461182,18.043498992919922,2.10239315032959
29.0,0.0,0.5588099956512451,1.457391381263733,17.811779022216797,1.8706731796264648
30.0,0.0,0.4594799876213074,0.9268734455108643,17.08823013305664,1.1471242904663086
31.0,0.0,0.4299601912498474,1.1377490758895874,17.373762130737305,1.4326562881469727
32.0,0.0,0.36498358845710754,1.2158912420272827,16.766433715820312,0.8253278732299805
