AR,MASE CV,WQL CV,mean first-p perturbation share,mean perturbation top-p recall,mean attention–perturbation Spearman,largest top-attention strategy share,lag-1 underrepresentation fraction
2,0.008940497615577534,0.009603727620972832,0.7024795763194581,1.0,0.5603555718475073,0.625,0.125
6,0.06106034723215399,0.07209124672283457,0.7856347638699751,0.9541666666666666,0.8925586510263929,0.625,0.375
7,0.04560113566800326,0.05394758752190908,0.7913701972235996,0.8571428571428571,0.844107404692082,0.5,0.5
