training seed,MASE,WQL,top attention lag,lag-1 attention rank,lag-1 attention %,lag-2 attention %,lag-2 / lag-1,top perturbation lag,lag-1 perturbation rank,attention − perturbation rank,underrepresented rate,strict-pattern rate
7,0.5291487097740173,0.40788246393203736,1,1.0,27.86038339138031,2.866295389831066,0.10288079180994025,2,2.0,-1.2,0.0,0.0
397525346,0.5433459877967834,0.4178550124168396,2,2.0,6.611589491367339,20.404102504253387,3.0863741566339855,1,1.0,0.8,0.0,0.0
811301288,0.5252875208854675,0.4003927052021027,1,1.0,36.915467381477356,33.55971932411194,0.9091095184861911,2,2.0,-1.0,0.0,0.0
1315039478,0.6151458144187927,0.4842102348804474,2,9.0,2.5851990282535553,25.231152176856998,9.761128590348953,2,2.0,7.4,1.0,0.8
1513855197,0.5996958971023559,0.47061183452606203,2,2.0,11.281840950250626,26.807188987731934,2.3765348375790145,2,2.0,0.0,0.0,0.0
1667329077,0.5867620468139648,0.4565167844295502,2,19.0,1.8095129728317263,27.208525538444515,15.044714281505241,1,1.0,18.0,1.0,0.0
1900183420,0.5537062644958496,0.4255209922790527,2,7.0,5.03825917840004,11.324108839035034,2.247840918050957,1,1.0,6.0,1.0,0.0
2083438954,0.5390149712562561,0.4148413062095642,1,1.0,15.46231746673584,13.143747448921204,0.8501151080327396,2,4.0,-3.0,0.0,0.0
