AR,metric,mean,train η²,eval η²,residual η²,relative eval range,permutation p
2,Median MASE,0.6487283632159233,0.46232188061527185,0.4797547726521339,0.05792334673259417,0.02212412152140888,0.0001999600079984003
2,Mean WQL,0.5486455082893371,0.41124324111962085,0.5478332364401649,0.04092352244021423,0.030437184772608893,0.0001999600079984003
2,MSE to conditional mean,0.17951053343713283,0.966872375619633,0.023470587739557108,0.00965703664080997,0.07030540538887634,0.0001999600079984003
2,Lag-1 attention mass,0.14038488864898682,0.9996976945257267,0.00010329215351015936,0.0001990133207632744,0.012172535352246173,0.016196760647870425
2,Lag-2 / lag-1 attention ratio,1.301330379967508,0.9990870711178266,0.0003209030152717613,0.000592025866901736,0.027413207502317138,0.011797640471905619
2,First-p attention mass,0.33465602342039347,0.9999758744473811,5.302373566294475e-06,1.8823179052611587e-05,0.0034435801177594106,0.1191761647670466
2,First-p perturbation share,0.7024795763194582,0.9199156953177474,0.06173525414602597,0.01834905053622668,0.032772335970867365,0.0001999600079984003
2,Attention–perturbation Spearman,0.5603555718475073,0.8040891554443991,0.11926360581351411,0.0766472387420868,0.32757661989336984,0.0001999600079984003
6,Median MASE,0.5615134015679359,0.9470780646202165,0.04503405153790617,0.007887883841877354,0.03541303155455885,0.0001999600079984003
6,Mean WQL,0.434728916734457,0.968448774200107,0.02537981275391775,0.0061714130459753136,0.030486229446765205,0.0001999600079984003
6,MSE to conditional mean,2.565726935863495,0.9796651000953434,0.011357939915068171,0.008976959989588482,0.06136792118061351,0.0005998800239952009
6,Lag-1 attention mass,0.134455712325871,0.9999560643269336,1.586590569023146e-05,2.8069767376089395e-05,0.011041733255364245,0.008398320335932814
6,Lag-2 / lag-1 attention ratio,4.2973372753058765,0.999329539500734,0.00010147345706690855,0.0005689870421991734,0.03431451888614057,0.27494501099780044
6,First-p attention mass,0.562855516676791,0.9998870694655634,2.922342931856638e-05,8.370710511797555e-05,0.0024549470434476854,0.0653869226154769
6,First-p perturbation share,0.785634763869975,0.8120337027788409,0.1299593793191628,0.05800691790199635,0.030806365260318855,0.0001999600079984003
6,Attention–perturbation Spearman,0.892558651026393,0.9220048077108044,0.0026486609514622494,0.07534653133773345,0.01232083453119211,0.9178164367126574
7,Median MASE,0.5623672664165497,0.9123317968134576,0.07484768151402572,0.012820521672516724,0.03549532567561966,0.0001999600079984003
7,Mean WQL,0.4278360575437546,0.9572283621644445,0.029999619437630968,0.012772018397924433,0.02499156107394923,0.0001999600079984003
7,MSE to conditional mean,3.640610879659653,0.9633435897950674,0.023167810112342802,0.013488600092589816,0.06294748874811794,0.0001999600079984003
7,Lag-1 attention mass,0.12283623237162829,0.9999849484873438,2.0273461354927002e-06,1.3024166520786622e-05,0.0029870600980980845,0.3929214157168566
7,Lag-2 / lag-1 attention ratio,4.28165791791533,0.9996470611238458,2.894103538358216e-05,0.00032399784077052343,0.01740566367020686,0.7090581883623275
7,First-p attention mass,0.5611788336187601,0.9997856389816099,2.7534819834670696e-05,0.00018682619855539783,0.0021218654355791592,0.41311737652469505
7,First-p perturbation share,0.7913701972235996,0.9151088409221065,0.06353939540107745,0.02135176367681608,0.03011607607283063,0.0001999600079984003
7,Attention–perturbation Spearman,0.8441074046920821,0.9129565971724819,0.02130135751474931,0.06574204531276873,0.04266684037390482,0.07038592281543692
