AR,metric,mean,95% CI lower,95% CI upper,SD across training seeds,CV,minimum,maximum
2,MASE,0.6487283632159233,0.6452990907803177,0.6526896610856057,0.005799954384489479,0.008940497615577534,0.6427788376808167,0.6605408906936645
2,Mean WQL,0.5486455082893372,0.5454267248138785,0.5523318975418806,0.005269042022080986,0.009603727620972832,0.542465078830719,0.5586699962615966
2,MSE to conditional mean,0.17951053343713286,0.16257609687745572,0.1989497077371925,0.028543772868643458,0.15900890227502942,0.15099253058433532,0.2354805052280426
2,First-p attention mass,0.33465602342039347,0.20283249553060162,0.4608981583430432,0.20089236790021442,0.6002950906036861,0.08891312256455422,0.5755379617214202
2,Attention top-p recall,0.875,0.6875,1.0,0.23145502494313785,0.26452002850644324,0.5,1.0
2,First-p perturbation share,0.7024795763194581,0.6817551568890219,0.7282587045652233,0.03621004872359787,0.051546051934086505,0.6604632195052169,0.776355181850214
2,Perturbation top-p recall,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2,Attention–perturbation Spearman,0.5603555718475073,0.4325879765395894,0.6866202346041055,0.19826525192417782,0.35382043453318757,0.257258064516129,0.8016862170087975
2,Lag-1 rank gap,0.7,0.125,1.475,1.0528871870107588,1.5041245528725127,-0.2,3.0
6,MASE,0.5615134015679359,0.5403394907712935,0.5843091929331422,0.03428620327524609,0.06106034723215399,0.5252875208854675,0.6151458144187927
6,Mean WQL,0.434728916734457,0.41550033167004585,0.4557532802224159,0.031340149593854345,0.07209124672283457,0.4003927052021027,0.4842102348804474
6,MSE to conditional mean,2.565726935863495,2.2257483173906802,2.9442084074020385,0.5580749779928341,0.21751144683095985,1.9759300708770753,3.480336046218872
6,First-p attention mass,0.562855516676791,0.5031159049237613,0.6361836750351357,0.10423518522294636,0.18518995041280092,0.4658654611557722,0.7809388851746917
6,Attention top-p recall,0.7750000000000001,0.6875,0.8416666666666668,0.1269295517643985,0.1637800667927722,0.5,0.8666666666666668
6,First-p perturbation share,0.7856347638699751,0.770012829715373,0.8003183908055963,0.023725023359311658,0.030198540658313105,0.7492957419764942,0.8120719197892015
6,Perturbation top-p recall,0.9541666666666666,0.9166666666666667,0.9875,0.05616726720040691,0.05886525820129983,0.8666666666666666,1.0
6,Attention–perturbation Spearman,0.8925586510263929,0.8263331653225805,0.9376099706744867,0.08998128688102948,0.1008127441009686,0.6822580645161289,0.9603372434017594
6,Lag-1 rank gap,3.375,-0.5249999999999999,8.325,6.925264306456882,2.0519301648761132,-3.0,18.0
7,MASE,0.5623672664165498,0.5456585273146629,0.5788411855697633,0.025644586011105218,0.04560113566800326,0.5285598158836364,0.596475088596344
7,Mean WQL,0.42783605754375453,0.41286207661032676,0.44279853627085686,0.023080723159370226,0.05394758752190908,0.3982732355594635,0.46047369837760926
7,MSE to conditional mean,3.6406108796596524,3.275102351605892,4.010097473859787,0.5630169084809592,0.15464902102737044,2.958712434768677,4.4161231994628904
7,First-p attention mass,0.5611788336187601,0.5138677776325494,0.617591923935106,0.0817793269600997,0.14572774677324507,0.47346139773726464,0.7214128579944372
7,Attention top-p recall,0.8214285714285714,0.75,0.9107142857142857,0.12662932291827403,0.15415743659615969,0.7142857142857143,1.0
7,First-p perturbation share,0.7913701972235996,0.765836190805929,0.8146535512268644,0.038618570995413076,0.04879962769750539,0.7270233188463829,0.8347471790950269
7,Perturbation top-p recall,0.8571428571428571,0.8071428571428572,0.9107142857142857,0.08224261910044849,0.09594972228385658,0.7428571428571429,1.0
7,Attention–perturbation Spearman,0.844107404692082,0.7678152492668622,0.9129398826979471,0.11139204975900743,0.1319643082619819,0.676099706744868,0.9642228739002932
7,Lag-1 rank gap,5.8,2.3,9.15,5.340946946536193,0.9208529218165851,-0.8,11.0
