AR,training seed,attention median r,attention minimum r,perturbation median ρ,perturbation minimum ρ
2,7,0.9995795990250267,0.999066280083201,0.7085777126099706,0.5370234604105572
2,397525346,0.9996669986456529,0.9996109665743589,0.7905058651026392,0.6994134897360703
2,811301288,0.9999697129387599,0.9999415950220314,0.46847507331378296,0.34274193548387094
2,1315039478,0.999981421215538,0.9999739214024504,0.6697214076246334,0.5791788856304985
2,1513855197,0.9999562839732616,0.9999156661783279,0.4937683284457477,0.219574780058651
2,1667329077,0.9999264778236863,0.9998288697729555,0.6028225806451613,0.5014662756598239
2,1900183420,0.9960885957949923,0.9946950184763969,0.8324780058651026,0.7426686217008798
2,2083438954,0.9960316524885682,0.9950187860221535,0.6973973607038122,0.5113636363636364
6,7,0.999925287928558,0.9998727897320285,0.9580278592375365,0.9329178885630497
6,397525346,0.9998862957854677,0.9997266558814009,0.940432551319648,0.9219208211143693
6,811301288,0.9999874327153951,0.9999620495508589,0.9532624633431085,0.9193548387096774
6,1315039478,0.9998989648221392,0.9997575946387616,0.8909457478005864,0.846041055718475
6,1513855197,0.9999209715120954,0.9998237284426025,0.9019428152492668,0.8614369501466275
6,1667329077,0.9999038897547763,0.9998404633538718,0.8845307917888562,0.8207478005865102
6,1900183420,0.9997679379802947,0.9993618607642306,0.9364002932551319,0.9087243401759529
6,2083438954,0.9998347782517121,0.999613904314785,0.9626099706744867,0.9420821114369501
7,7,0.9999401382535769,0.9999154306557441,0.9591275659824046,0.9318181818181818
7,397525346,0.9997495435280681,0.9992661762890603,0.973423753665689,0.9567448680351905
7,811301288,0.9999826333962307,0.9999668408943503,0.9046920821114369,0.8596041055718473
7,1315039478,0.9999439269334267,0.9999073384315724,0.9151392961876832,0.8376099706744866
7,1513855197,0.999948435509504,0.99991810225243,0.9677419354838709,0.9373167155425218
7,1667329077,0.999958443107263,0.9999423901159036,0.9144061583577712,0.8848973607038124
7,1900183420,0.9998775895593561,0.9998072758682034,0.94391495601173,0.9277859237536655
7,2083438954,0.9995190993371845,0.9989715280412874,0.9261363636363634,0.8823313782991202
