checkpoint_label,checkpoint,train_ar_order,test_ar_order,is_diagonal,patch_size,patch_stride,median_mase_to_noisy_next_x,median_smape_percent_to_noisy_next_x,mean_wql_to_noisy_next_x,zero_mase_to_noisy_next_x,last_value_mase_to_noisy_next_x,ols_mase_to_noisy_next_x,analytic_optimum_mase_to_noisy_next_x,median_mae_to_noisy_next_x,median_mse_to_noisy_next_x,median_mse_to_conditional_mean,zero_mse_to_conditional_mean,model_mse_over_zero_mse,mase_improvement_vs_zero_percent,wql_q0.1,wql_q0.2,wql_q0.3,wql_q0.4,wql_q0.5,wql_q0.6,wql_q0.7,wql_q0.8,wql_q0.9,mase_over_matched_specialist,failure_mode
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,1,1,4,4,0.7179980278015137,131.28249645233154,0.6514294147491455,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.819185197353363,1.0393449068069458,0.08420897275209427,0.6477575898170471,0.13000075039781206,15.71395015763216,0.3762495517730713,0.5926328301429749,0.7317169904708862,0.8131323456764221,0.8393353819847107,0.8124024868011475,0.7299339771270752,0.5960111021995544,0.3714497685432434,1.0,in_distribution
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,2,0,4,4,0.7345820069313049,129.6991229057312,0.6469967365264893,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,1.01146399974823,1.6879549026489258,0.708078920841217,1.616495966911316,0.43803321216703267,15.545215079667525,0.37438732385635376,0.5848588347434998,0.7213224768638611,0.8023102879524231,0.8302944898605347,0.8060588836669922,0.7275843620300293,0.5968776345252991,0.37927600741386414,1.1412886623189766,good_transfer
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,3,0,4,4,0.7277607321739197,127.28091478347778,0.6476309299468994,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,1.236836314201355,2.6496102809906006,1.5748218297958374,3.001481771469116,0.524681457260698,15.841838777879314,0.3781135082244873,0.5877403616905212,0.72465580701828,0.8029254674911499,0.8289874196052551,0.8064860105514526,0.7285105586051941,0.5940025448799133,0.3772566020488739,1.2330386480664959,good_transfer
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,4,0,4,4,0.7182804942131042,125.8313775062561,0.6202186942100525,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.4318723678588867,3.5880606174468994,2.6257596015930176,5.026864528656006,0.5223454076839916,18.954145551214847,0.3478609621524811,0.5557759404182434,0.6909000277519226,0.7711517810821533,0.8023667931556702,0.7830419540405273,0.7056243419647217,0.5686508417129517,0.3565956652164459,1.3221742526420726,graceful_degradation
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,5,0,4,4,0.734565019607544,124.35662746429443,0.6048018336296082,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.719691514968872,5.221754550933838,4.192400932312012,8.175668716430664,0.5127899720161767,19.99569985089051,0.3379746079444885,0.5404592752456665,0.6754464507102966,0.7576677799224854,0.7833840847015381,0.7630812525749207,0.6868851780891418,0.5530517101287842,0.3452661335468292,1.3793637757005914,graceful_degradation
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,6,0,4,4,0.7264182567596436,124.29487705230713,0.6022322177886963,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.9836708307266235,7.200112819671631,6.169462203979492,11.452367782592773,0.538706258923755,21.47138429083088,0.34071114659309387,0.5396837592124939,0.6720572710037231,0.7500521540641785,0.7802513241767883,0.7588047385215759,0.6803835034370422,0.5511969923973083,0.3469490706920624,1.4600219184016339,graceful_degradation
ar1,outputs_patching\patch4_stride4\ar1\patching\sanity\ar1_patch4_stride4_rope_seed7_best_model.pt,1,7,0,4,4,0.7149164080619812,123.13857078552246,0.5880894064903259,0.9190888404846191,1.0607483386993408,0.36884400248527527,0.30740296840667725,2.2116596698760986,9.073077201843262,8.236026763916016,16.68950080871582,0.49348550674534764,22.214656889423384,0.33003994822502136,0.5289348363876343,0.6589725017547607,0.7361732125282288,0.7609202265739441,0.7404909729957581,0.6640422940254211,0.53630131483078,0.3369293808937073,1.4327531970190084,graceful_degradation
ar2,outputs_patching\patch4_stride4\ar2\patching\sanity\ar2_patch4_stride4_rope_seed7_best_model.pt,2,1,0,4,4,0.7424547672271729,128.86162996292114,0.6746597290039062,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.846275269985199,1.1138997077941895,0.15367136895656586,0.6477575898170471,0.23723592185151987,12.842964613946569,0.3946633040904999,0.6159270405769348,0.7585310339927673,0.8410900831222534,0.8670918345451355,0.8417896032333374,0.7584916949272156,0.6115261316299438,0.38282671570777893,1.034062404740226,good_transfer
ar2,outputs_patching\patch4_stride4\ar2\patching\sanity\ar2_patch4_stride4_rope_seed7_best_model.pt,2,2,1,4,4,0.6436426043510437,110.10270118713379,0.5467429161071777,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,0.8521363735198975,1.1389410495758057,0.1731833517551422,1.616495966911316,0.10713503485322545,26.000504772623096,0.3180880546569824,0.49496662616729736,0.6108147501945496,0.6794323921203613,0.699505090713501,0.6797040700912476,0.6178274154663086,0.5010839104652405,0.3192642033100128,1.0,in_distribution
ar2,outputs_patching\patch4_stride4\ar2\patching\sanity\ar2_patch4_stride4_rope_seed7_best_model.pt,2,3,0,4,4,0.6461896300315857,109.54458713531494,0.5560434460639954,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,1.0601205825805664,1.8512910604476929,0.7783797383308411,3.001481771469116,0.2593318226116871,25.274710959172076,0.32754990458488464,0.5127594470977783,0.6277223825454712,0.6921274662017822,0.7105439305305481,0.6904121041297913,0.6239104866981506,0.5028299689292908,0.3165348768234253,1.094833442618779,good_transfer
