lag,is_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,1.0,0.5925848484039307,0.8110000491142273,0.8759734630584717,0.7965892478823662
2.0,0.0,0.1506606638431549,0.0849812775850296,0.14443917572498322,0.06505496054887772
3.0,0.0,0.07196313142776489,0.016096200793981552,0.09114451706409454,0.011760301887989044
4.0,0.0,0.07676283270120621,0.017917409539222717,0.09200673550367355,0.012622520327568054
5.0,0.0,0.0653887689113617,0.012630817480385303,0.09057053923606873,0.011186324059963226
6.0,0.0,0.0699102133512497,0.014078713022172451,0.09014569222927094,0.010761477053165436
7.0,0.0,0.06667892634868622,0.01431504637002945,0.09155625849962234,0.012172043323516846
8.0,0.0,0.06698711216449738,0.015246085822582245,0.09033915400505066,0.01095493882894516
9.0,0.0,0.06579094380140305,0.014109245501458645,0.09157687425613403,0.012192659080028534
10.0,0.0,0.06577737629413605,0.012845170684158802,0.08928674459457397,0.009902529418468475
11.0,0.0,0.06851697713136673,0.01632869802415371,0.09297842532396317,0.013594210147857666
12.0,0.0,0.06895940750837326,0.016268683597445488,0.09464866667985916,0.015264451503753662
13.0,0.0,0.06862702965736389,0.015097182244062424,0.09206826984882355,0.012684054672718048
14.0,0.0,0.06836694478988647,0.01443537324666977,0.08920282125473022,0.009818606078624725
15.0,0.0,0.06505976617336273,0.013299436308443546,0.08983319252729416,0.01044897735118866
16.0,0.0,0.06481867283582687,0.012626156210899353,0.09074705094099045,0.011362835764884949
17.0,0.0,0.06307954341173172,0.011730436235666275,0.08987658470869064,0.010492369532585144
18.0,0.0,0.06320355832576752,0.011898139491677284,0.08927065879106522,0.009886443614959717
19.0,0.0,0.06173854321241379,0.010674890130758286,0.08985478430986404,0.010470569133758545
20.0,0.0,0.06423383206129074,0.013193431310355663,0.0924319475889206,0.013047732412815094
21.0,0.0,0.06214264780282974,0.011441323906183243,0.0894591361284256,0.010074920952320099
22.0,0.0,0.059785109013319016,0.010078104212880135,0.08812673389911652,0.008742518723011017
23.0,0.0,0.0604681596159935,0.010607285425066948,0.08929478377103806,0.009910568594932556
24.0,0.0,0.06183566898107529,0.011365696787834167,0.09098654985427856,0.011602334678173065
25.0,0.0,0.06112613528966904,0.011080128140747547,0.08869942277669907,0.009315207600593567
26.0,0.0,0.05838311091065407,0.009823596104979515,0.08788444846868515,0.008500233292579651
27.0,0.0,0.05852406844496727,0.010811769403517246,0.08802345395088196,0.008639238774776459
28.0,0.0,0.057709287852048874,0.009305340237915516,0.08720117062330246,0.00781695544719696
29.0,0.0,0.05572753772139549,0.008560558781027794,0.08637484908103943,0.0069906339049339294
30.0,0.0,0.05720467120409012,0.00937584601342678,0.08667605370283127,0.007291838526725769
31.0,0.0,0.05631226301193237,0.008774512447416782,0.09060272574424744,0.011218510568141937
32.0,0.0,0.04984339326620102,0.006539549678564072,0.08246584981679916,0.0030816346406936646
